WN18RR, _synset_domain_topic_of_WN18_generic_PPO_simple_embedding_100
([('03464757', 'NO_OP', '03464757'), ('03464757', '_hypernym', '03504420'), ('03504420', '_synset_domain_topic_of', '08199025')], '08199025')
([('06493392', '¬_hypernym', '06493721'), ('06493721', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '07300316')], '06128570')
([('07029247', '¬_hypernym', '07029819'), ('07029819', '_synset_domain_topic_of', '07020895'), ('07020895', '¬_hypernym', '07028373')], '07020895')
([('05802547', 'NO_OP', '05802547'), ('05802547', '¬_derivationally_related_form', '00642644'), ('00642644', '_synset_domain_topic_of', '06000644')], '06000644')
([('10603959', '_hypernym', '00004475'), ('00004475', '¬_hypernym', '00015388'), ('00015388', '¬_synset_domain_topic_of', '00315383')], '00015388')
([('08426816', '¬_hypernym', '08427282'), ('08427282', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '09941571')], '08199025')
([('06532330', '¬_has_part', '08441203'), ('08441203', '¬_synset_domain_topic_of', '08455037'), ('08455037', '_synset_domain_topic_of', '08441203')], '08441203')
([('00969506', '¬_derivationally_related_form', '06277280'), ('06277280', '¬_synset_domain_topic_of', '00969769'), ('00969769', 'NO_OP', '00969769')], '06277280')
([('01472417', '_hypernym', '01471825'), ('01471825', '¬_derivationally_related_form', '00769944'), ('00769944', '_hypernym', '00766234')], '00766234')
([('05881867', '_has_part', '13590327'), ('13590327', 'NO_OP', '13590327'), ('13590327', '_synset_domain_topic_of', '06090869')], '06090869')
([('02980625', '¬_derivationally_related_form', '01077329'), ('01077329', 'NO_OP', '01077329'), ('01077329', '_synset_domain_topic_of', '00503237')], '00503237')
([('09893191', '_hypernym', '09943239'), ('09943239', '¬_hypernym', '10087080'), ('10087080', '_synset_domain_topic_of', '08199025')], '08199025')
([('06532330', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06501748'), ('06501748', '_synset_domain_topic_of', '08441203')], '08441203')
([('00137279', '_synset_domain_topic_of', '00478262'), ('00478262', '_hypernym', '00468480'), ('00468480', '¬_synset_domain_topic_of', '09830194')], '00468480')
([('04445154', '¬_member_of_domain_region', '08806897'), ('08806897', '_member_of_domain_region', '09823287'), ('09823287', '_synset_domain_topic_of', '15253139')], '15253139')
([('00127286', 'NO_OP', '00127286'), ('00127286', '_derivationally_related_form', '01113473'), ('01113473', '_synset_domain_topic_of', '00471613')], '00471613')
([('00082714', '¬_hypernym', '00083124'), ('00083124', 'NO_OP', '00083124'), ('00083124', '_synset_domain_topic_of', '00612160')], '00612160')
([('04405907', '¬_has_part', '04404412'), ('04404412', '_synset_domain_topic_of', '06277280'), ('06277280', '¬_derivationally_related_form', '00969506')], '06277280')
([('08454003', 'NO_OP', '08454003'), ('08454003', '_hypernym', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06727758')], '08441203')
([('00324231', '_derivationally_related_form', '00247792'), ('00247792', '¬_derivationally_related_form', '00323856'), ('00323856', '_synset_domain_topic_of', '00243918')], '00243918')
([('03011355', '_hypernym', '03716327'), ('03716327', '¬_hypernym', '04579986'), ('04579986', '_synset_domain_topic_of', '00502952')], '00502952')
([('08013653', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08026904'), ('08026904', '_synset_domain_topic_of', '00759694')], '00759694')
([('08622586', '¬_hypernym', '08594286'), ('08594286', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03860741')], '08199025')
([('11492388', 'NO_OP', '11492388'), ('11492388', '_hypernym', '11418750'), ('11418750', '_synset_domain_topic_of', '06037666')], '06037666')
([('13785136', '_hypernym', '13783816'), ('13783816', '¬_hypernym', '13784906'), ('13784906', '_synset_domain_topic_of', '06000644')], '06000644')
([('06534132', '_has_part', '06535980'), ('06535980', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '02494259')], '08441203')
([('01742726', '_derivationally_related_form', '00915722'), ('00915722', '_synset_domain_topic_of', '00916464'), ('00916464', '¬_derivationally_related_form', '09779790')], '00916464')
([('05903229', '¬_hypernym', '05904135'), ('05904135', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06551784')], '08441203')
([('08389900', '_hypernym', '08389710'), ('08389710', 'NO_OP', '08389710'), ('08389710', '_synset_domain_topic_of', '08199025')], '08199025')
([('08191230', '_hypernym', '08198137'), ('08198137', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00057162')], '08199025')
([('03294604', '_hypernym', '04058239'), ('04058239', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '08555883')], '06128570')
([('08035233', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08022972'), ('08022972', '_synset_domain_topic_of', '00759694')], '00759694')
([('03120778', '_has_part', '02789770'), ('02789770', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06501748')], '08441203')
([('09913824', '_derivationally_related_form', '06084469'), ('06084469', '¬_synset_domain_topic_of', '07360293'), ('07360293', '_hypernym', '07359599')], '06084469')
([('08214470', '¬_member_meronym', '08214272'), ('08214272', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '09123809')], '08199025')
([('01196316', '_synset_domain_topic_of', '08455271'), ('08455271', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08404735')], '08199025')
([('13590327', 'NO_OP', '13590327'), ('13590327', '¬_has_part', '05881867'), ('05881867', '_synset_domain_topic_of', '06090869')], '06090869')
([('01183373', '_hypernym', '01182654'), ('01182654', '¬_hypernym', '01183166'), ('01183166', '_synset_domain_topic_of', '08441203')], '08441203')
([('01928608', '¬_derivationally_related_form', '00446885'), ('00446885', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00396880')], '06084469')
([('00960562', '_hypernym', '00960734'), ('00960734', 'NO_OP', '00960734'), ('00960734', '_synset_domain_topic_of', '06613686')], '06613686')
([('08334693', '_hypernym', '08334087'), ('08334087', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01194021')], '08441203')
([('14621446', '¬_has_part', '14682133'), ('14682133', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00238542')], '06084469')
([('02465297', '_derivationally_related_form', '06544432'), ('06544432', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '07209089')], '08441203')
([('13839662', '_hypernym', '13838386'), ('13838386', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06544142')], '08441203')
([('09544876', 'NO_OP', '09544876'), ('09544876', '_hypernym', '09544433'), ('09544433', '_synset_domain_topic_of', '06234825')], '06234825')
([('01938426', '¬_hypernym', '01940248'), ('01940248', '_synset_domain_topic_of', '00523513'), ('00523513', '¬_synset_domain_topic_of', '01928390')], '00523513')
([('02298998', '_hypernym', '02298632'), ('02298632', '_synset_domain_topic_of', '00092366'), ('00092366', '¬_synset_domain_topic_of', '02298632')], '00092366')
([('08426816', '¬_hypernym', '08427453'), ('08427453', 'NO_OP', '08427453'), ('08427453', '_synset_domain_topic_of', '08199025')], '08199025')
([('08454003', '_hypernym', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06481156'), ('06481156', '_synset_domain_topic_of', '08441203')], '08441203')
([('06356755', '_hypernym', '06355894'), ('06355894', '¬_hypernym', '06356515'), ('06356515', '_synset_domain_topic_of', '06128570')], '06128570')
([('09901143', '_hypernym', '10205457'), ('10205457', '¬_derivationally_related_form', '02799593'), ('02799593', '_synset_domain_topic_of', '00471613')], '00471613')
([('00057748', '_hypernym', '00952963'), ('00952963', '¬_hypernym', '00971309'), ('00971309', '_synset_domain_topic_of', '08199025')], '08199025')
([('06804483', '_hypernym', '06804199'), ('06804199', '¬_hypernym', '06804847'), ('06804847', '_synset_domain_topic_of', '08199025')], '08199025')
([('13435152', '_hypernym', '13446390'), ('13446390', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '01459542')], '06084469')
([('05861855', 'NO_OP', '05861855'), ('05861855', '¬_hypernym', '05862721'), ('05862721', '_synset_domain_topic_of', '06000644')], '06000644')
([('00128976', '_hypernym', '00128638'), ('00128638', 'NO_OP', '00128638'), ('00128638', '_synset_domain_topic_of', '00471613')], '00471613')
([('10205457', '¬_hypernym', '10708976'), ('10708976', 'NO_OP', '10708976'), ('10708976', '_synset_domain_topic_of', '00471613')], '00471613')
([('03402188', '_hypernym', '03763968'), ('03763968', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '02749479')], '08199025')
([('14964129', '¬_has_part', '14830364'), ('14830364', '_synset_domain_topic_of', '06079620'), ('06079620', 'NO_OP', '06079620')], '06079620')
([('03446268', '_has_part', '03511786'), ('03511786', 'NO_OP', '03511786'), ('03511786', '_synset_domain_topic_of', '00464894')], '00464894')
([('08035601', '¬_member_of_domain_region', '08732116'), ('08732116', '_member_of_domain_region', '08047032'), ('08047032', '_synset_domain_topic_of', '00759694')], '00759694')
([('05974798', '_hypernym', '06167328'), ('06167328', '¬_hypernym', '05976257'), ('05976257', '_synset_domain_topic_of', '06158346')], '06158346')
([('00895680', '_hypernym', '00895501'), ('00895501', 'NO_OP', '00895501'), ('00895501', '_synset_domain_topic_of', '08199025')], '08199025')
([('00558883', '¬_hypernym', '00559916'), ('00559916', 'NO_OP', '00559916'), ('00559916', '_synset_domain_topic_of', '00469651')], '00469651')
([('00568430', '_derivationally_related_form', '01077568'), ('01077568', '_synset_domain_topic_of', '00479076'), ('00479076', '¬_hypernym', '00482298')], '00482298')
([('08046346', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08039312'), ('08039312', '_synset_domain_topic_of', '00759694')], '00759694')
([('07226151', 'NO_OP', '07226151'), ('07226151', '_hypernym', '07225857'), ('07225857', '_synset_domain_topic_of', '08199025')], '08199025')
([('01194021', '_hypernym', '01189282'), ('01189282', '_hypernym', '01189001'), ('01189001', '_synset_domain_topic_of', '08441203')], '08441203')
([('01960779', '_hypernym', '01958615'), ('01958615', '¬_derivationally_related_form', '00450335'), ('00450335', '¬_synset_domain_topic_of', '01959482')], '00450335')
([('00960562', '_hypernym', '00960734'), ('00960734', '_synset_domain_topic_of', '06613686'), ('06613686', '¬_hypernym', '06617165')], '06613686')
([('06557047', '_hypernym', '06552984'), ('06552984', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '00905399')], '08441203')
([('09338453', '¬_has_part', '05629381'), ('05629381', '_has_part', '09248724'), ('09248724', '_synset_domain_topic_of', '07979425')], '07979425')
([('06464419', '_synset_domain_topic_of', '06236802'), ('06236802', '¬_synset_domain_topic_of', '06969129'), ('06969129', '¬_hypernym', '06970645')], '06969129')
([('06814870', '¬_hypernym', '06865345'), ('06865345', '¬_hypernym', '06857726'), ('06857726', '_synset_domain_topic_of', '07020895')], '07020895')
([('09278537', '_has_part', '08569591'), ('08569591', '_synset_domain_topic_of', '06115701'), ('06115701', 'NO_OP', '06115701')], '06115701')
([('04099649', '_hypernym', '02798290'), ('02798290', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03238407')], '08199025')
([('06543389', '_hypernym', '06542830'), ('06542830', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '10213034')], '08441203')
([('00905399', '_derivationally_related_form', '06552639'), ('06552639', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06731510')], '08441203')
([('13546416', '_hypernym', '13459322'), ('13459322', '¬_hypernym', '13501059'), ('13501059', '_synset_domain_topic_of', '06055946')], '06055946')
([('05957238', '_hypernym', '05956651'), ('05956651', '¬_hypernym', '05957428'), ('05957428', '_synset_domain_topic_of', '08441203')], '08441203')
([('01936753', '¬_hypernym', '01937795'), ('01937795', '_synset_domain_topic_of', '00523513'), ('00523513', '¬_synset_domain_topic_of', '01922895')], '00523513')
([('08590909', '¬_has_part', '02802544'), ('02802544', '_synset_domain_topic_of', '00480993'), ('00480993', '_hypernym', '00479076')], '00480993')
([('10602695', '¬_member_meronym', '08075647'), ('08075647', '_derivationally_related_form', '10602470'), ('10602470', '_synset_domain_topic_of', '08083599')], '08083599')
([('06431496', '_has_part', '06431156'), ('06431156', '_synset_domain_topic_of', '06236802'), ('06236802', '¬_synset_domain_topic_of', '06466479')], '06236802')
([('02299687', '_hypernym', '02298632'), ('02298632', '_synset_domain_topic_of', '00092366'), ('00092366', '_derivationally_related_form', '09608377')], '00092366')
([('00980904', '_hypernym', '00955060'), ('00955060', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08395682')], '08199025')
([('08271042', '_member_meronym', '09444100'), ('09444100', '_synset_domain_topic_of', '06095022'), ('06095022', '¬_derivationally_related_form', '09818343')], '06095022')
([('01702514', '¬_derivationally_related_form', '07092592'), ('07092592', '¬_synset_domain_topic_of', '04982478'), ('04982478', '¬_derivationally_related_form', '00461493')], '07092592')
([('07225696', '_hypernym', '07224151'), ('07224151', '¬_hypernym', '07225857'), ('07225857', '_synset_domain_topic_of', '08199025')], '08199025')
([('10301261', '_derivationally_related_form', '06000644'), ('06000644', '¬_hypernym', '06003682'), ('06003682', '_hypernym', '06000644')], '06000644')
([('07425011', '¬_hypernym', '07426406'), ('07426406', '_synset_domain_topic_of', '06075527'), ('06075527', '¬_synset_domain_topic_of', '13549916')], '06075527')
([('13838386', '¬_hypernym', '13839662'), ('13839662', '_member_meronym', '10249950'), ('10249950', '_synset_domain_topic_of', '08441203')], '08441203')
([('06563950', '_synset_domain_topic_of', '06539178'), ('06539178', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06535980')], '08441203')
([('04103918', '_hypernym', '03100490'), ('03100490', '¬_hypernym', '04019101'), ('04019101', '¬_hypernym', '04468005')], '04468005')
([('01665185', 'NO_OP', '01665185'), ('01665185', '_hypernym', '01664172'), ('01664172', '_derivationally_related_form', '00243918')], '00243918')
([('08042183', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08018983'), ('08018983', '_synset_domain_topic_of', '00759694')], '00759694')
([('13546169', '_hypernym', '13459322'), ('13459322', '_synset_domain_topic_of', '06055946'), ('06055946', '¬_synset_domain_topic_of', '13459322')], '06055946')
([('08101085', '_hypernym', '07992450'), ('07992450', '¬_hypernym', '08109772'), ('08109772', '_synset_domain_topic_of', '06037666')], '06037666')
([('01698271', '_derivationally_related_form', '00929718'), ('00929718', '¬_hypernym', '00931721'), ('00931721', '¬_derivationally_related_form', '10256080')], '00929718')
([('08013845', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08010942'), ('08010942', '_synset_domain_topic_of', '00759694')], '00759694')
([('13450636', '¬_derivationally_related_form', '02672859'), ('02672859', '_derivationally_related_form', '13529616'), ('13529616', '_synset_domain_topic_of', '06055946')], '06055946')
([('05613625', '¬_has_part', '05613274'), ('05613274', '_has_part', '05613794'), ('05613794', '_synset_domain_topic_of', '00704305')], '00704305')
([('06545137', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06556481'), ('06556481', '_synset_domain_topic_of', '08441203')], '08441203')
([('00955806', '_hypernym', '00952963'), ('00952963', '¬_hypernym', '00954751'), ('00954751', '_synset_domain_topic_of', '08199025')], '08199025')
([('08109772', '_hypernym', '07992450'), ('07992450', '¬_hypernym', '08103457'), ('08103457', '_synset_domain_topic_of', '06037666')], '06037666')
([('08028148', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08038748'), ('08038748', '_synset_domain_topic_of', '00759694')], '00759694')
([('01958615', '¬_derivationally_related_form', '00299217'), ('00299217', '¬_synset_domain_topic_of', '01960105'), ('01960105', 'NO_OP', '01960105')], '00299217')
([('06052864', '_derivationally_related_form', '10354265'), ('10354265', '¬_derivationally_related_form', '06078978'), ('06078978', '¬_derivationally_related_form', '10354265')], '06078978')
([('01183798', '_hypernym', '01182654'), ('01182654', '¬_hypernym', '01183031'), ('01183031', '_synset_domain_topic_of', '08441203')], '08441203')
([('02113430', 'NO_OP', '02113430'), ('02113430', '¬_hypernym', '02113622'), ('02113622', '_synset_domain_topic_of', '00903559')], '00903559')
([('01967923', '_hypernym', '01967373'), ('01967373', '¬_hypernym', '01967634'), ('01967634', '_synset_domain_topic_of', '00300441')], '00300441')
([('08195797', '¬_hypernym', '08219493'), ('08219493', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08426816')], '08199025')
([('05176846', '¬_hypernym', '05182563'), ('05182563', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01181475')], '08441203')
([('01750421', '¬_hypernym', '01750668'), ('01750668', 'NO_OP', '01750668'), ('01750668', '_synset_domain_topic_of', '00933420')], '00933420')
([('06533039', 'NO_OP', '06533039'), ('06533039', '_hypernym', '06532330'), ('06532330', '¬_has_part', '08441203')], '08441203')
([('05126849', 'NO_OP', '05126849'), ('05126849', '_hypernym', '04987620'), ('04987620', '_synset_domain_topic_of', '07020895')], '07020895')
([('06532095', '¬_hypernym', '06564387'), ('06564387', 'NO_OP', '06564387'), ('06564387', '_synset_domain_topic_of', '08441203')], '08441203')
([('04071876', '¬_hypernym', '03117420'), ('03117420', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '03117420')], '06128570')
([('08334087', '¬_hypernym', '08331525'), ('08331525', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08426993')], '08199025')
([('04932561', '_hypernym', '04932278'), ('04932278', 'NO_OP', '04932278'), ('04932278', '_synset_domain_topic_of', '06128570')], '06128570')
([('05279026', 'NO_OP', '05279026'), ('05279026', '¬_has_part', '01471682'), ('01471682', '¬_hypernym', '01627424')], '01471682')
([('08214272', '_member_meronym', '08214470'), ('08214470', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00955060')], '08199025')
([('01701152', '_hypernym', '01698271'), ('01698271', '¬_derivationally_related_form', '10794014'), ('10794014', '¬_derivationally_related_form', '00929718')], '00929718')
([('00642644', '_hypernym', '00637259'), ('00637259', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '06014435')], '06000644')
([('03846234', '_hypernym', '03763968'), ('03763968', '¬_hypernym', '03402188'), ('03402188', '_synset_domain_topic_of', '08199025')], '08199025')
([('05718935', '_derivationally_related_form', '10339966'), ('10339966', '_derivationally_related_form', '07020895'), ('07020895', '¬_synset_domain_topic_of', '01731353')], '07020895')
([('01183798', '_hypernym', '01182654'), ('01182654', '¬_hypernym', '01183031'), ('01183031', '_synset_domain_topic_of', '08441203')], '08441203')
([('01481027', '_hypernym', '01480770'), ('01480770', '_synset_domain_topic_of', '00452293'), ('00452293', '¬_synset_domain_topic_of', '01480770')], '00452293')
([('15231765', '¬_has_part', '15254550'), ('15254550', '_has_part', '15231415'), ('15231415', '_synset_domain_topic_of', '06144081')], '06144081')
([('13587963', '_hypernym', '13587763'), ('13587763', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '07345593')], '06090869')
([('03284120', '_hypernym', '03763133'), ('03763133', '¬_hypernym', '03812119'), ('03812119', '_synset_domain_topic_of', '08199025')], '08199025')
([('08211475', '_hypernym', '08211290'), ('08211290', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03762982')], '08199025')
([('07209089', 'NO_OP', '07209089'), ('07209089', '¬_derivationally_related_form', '01016626'), ('01016626', '_synset_domain_topic_of', '08441203')], '08441203')
([('02911890', 'NO_OP', '02911890'), ('02911890', '_hypernym', '02748618'), ('02748618', '¬_member_of_domain_usage', '06851742')], '06851742')
([('13467700', '_derivationally_related_form', '00209598'), ('00209598', '_hypernym', '00209174'), ('00209174', '_synset_domain_topic_of', '06084469')], '06084469')
([('08132637', 'NO_OP', '08132637'), ('08132637', '_derivationally_related_form', '02387486'), ('02387486', '_derivationally_related_form', '00883297')], '00883297')
([('06804728', '_hypernym', '06804199'), ('06804199', '¬_hypernym', '06804483'), ('06804483', '_synset_domain_topic_of', '08199025')], '08199025')
([('06027051', 'NO_OP', '06027051'), ('06027051', '_hypernym', '06026635'), ('06026635', '_synset_domain_topic_of', '06018465')], '06018465')
([('13435152', '_hypernym', '13446390'), ('13446390', '¬_hypernym', '13447361'), ('13447361', '_synset_domain_topic_of', '06084469')], '06084469')
([('01863158', '_verb_group', '01863410'), ('01863410', '_synset_domain_topic_of', '00298497'), ('00298497', '_hypernym', '00295701')], '00298497')
([('01957529', '¬_derivationally_related_form', '00299217'), ('00299217', '¬_synset_domain_topic_of', '01958615'), ('01958615', '¬_hypernym', '01959927')], '00299217')
([('04932875', '_hypernym', '04932278'), ('04932278', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '13455487')], '06128570')
([('08427163', '_hypernym', '08426816'), ('08426816', 'NO_OP', '08426816'), ('08426816', '_synset_domain_topic_of', '08199025')], '08199025')
([('02346136', '¬_derivationally_related_form', '01111750'), ('01111750', '_hypernym', '01090446'), ('01090446', '¬_synset_domain_topic_of', '02260362')], '01090446')
([('02846260', '_hypernym', '03716327'), ('03716327', '¬_hypernym', '04579986'), ('04579986', '_synset_domain_topic_of', '00502952')], '00502952')
([('08001685', '_hypernym', '07999699'), ('07999699', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '05802730')], '06000644')
([('04071876', '¬_hypernym', '03117420'), ('03117420', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '13607187')], '06128570')
([('15139552', '_hypernym', '15139130'), ('15139130', '¬_hypernym', '15139691'), ('15139691', '_synset_domain_topic_of', '08199025')], '08199025')
([('00543233', '_derivationally_related_form', '10339966'), ('10339966', '_derivationally_related_form', '07020895'), ('07020895', '¬_synset_domain_topic_of', '06857726')], '07020895')
([('09830194', '_hypernym', '10101634'), ('10101634', '_derivationally_related_form', '00468480'), ('00468480', '¬_synset_domain_topic_of', '01117484')], '00468480')
([('01958615', '_derivationally_related_form', '00299217'), ('00299217', '¬_synset_domain_topic_of', '01957529'), ('01957529', '¬_hypernym', '01960296')], '00299217')
([('08214272', '_hypernym', '08190754'), ('08190754', '¬_hypernym', '08389297'), ('08389297', '_synset_domain_topic_of', '08199025')], '08199025')
([('01181475', '¬_hypernym', '01187810'), ('01187810', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '09775663')], '08441203')
([('00114291', '¬_derivationally_related_form', '07595180'), ('07595180', '¬_derivationally_related_form', '00114615'), ('00114615', '_synset_domain_topic_of', '00243918')], '00243918')
([('00567418', '_synset_domain_topic_of', '00482298'), ('00482298', '¬_synset_domain_topic_of', '01166517'), ('01166517', '_synset_domain_topic_of', '00480508')], '00480508')
([('10423589', '¬_hypernym', '10509161'), ('10509161', '¬_derivationally_related_form', '05974564'), ('05974564', '_synset_domain_topic_of', '06158346')], '06158346')
([('15231765', '¬_has_part', '15254550'), ('15254550', '_has_part', '15231415'), ('15231415', '_synset_domain_topic_of', '06144081')], '06144081')
([('08012028', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08021785'), ('08021785', '_synset_domain_topic_of', '00759694')], '00759694')
([('00973077', '_has_part', '00964343'), ('00964343', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '07269758')], '08199025')
([('13783581', '¬_hypernym', '13790133'), ('13790133', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '13903855')], '06000644')
([('01960779', '_hypernym', '01958615'), ('01958615', '_derivationally_related_form', '00450335'), ('00450335', '¬_synset_domain_topic_of', '01959482')], '00450335')
([('15286042', '¬_has_part', '00543233'), ('00543233', '¬_synset_domain_topic_of', '01725886'), ('01725886', '_synset_domain_topic_of', '07020895')], '07020895')
([('09917345', '_hypernym', '10360747'), ('10360747', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08405267')], '08199025')
([('01938426', '_derivationally_related_form', '00440747'), ('00440747', '_hypernym', '00523513'), ('00523513', '¬_synset_domain_topic_of', '07465448')], '00523513')
([('08454818', '_hypernym', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06531481'), ('06531481', '_hypernym', '06479665')], '08441203')
([('09616722', '_hypernym', '09943541'), ('09943541', '_hypernym', '09942970'), ('09942970', '_synset_domain_topic_of', '08199025')], '08199025')
([('06544841', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06552984'), ('06552984', '_synset_domain_topic_of', '08441203')], '08441203')
([('02867715', '¬_instance_hypernym', '02766044'), ('02766044', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00953559')], '08199025')
([('01698271', '¬_derivationally_related_form', '00929718'), ('00929718', '¬_derivationally_related_form', '10794014'), ('10794014', '¬_instance_hypernym', '10881092')], '00929718')
([('13798814', 'NO_OP', '13798814'), ('13798814', '_hypernym', '13783581'), ('13783581', '_synset_domain_topic_of', '06000644')], '06000644')
([('00613973', '¬_derivationally_related_form', '10705615'), ('10705615', '_derivationally_related_form', '06182144'), ('06182144', '¬_derivationally_related_form', '10705615')], '06182144')
([('08427163', '_hypernym', '08426816'), ('08426816', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '06496624')], '08199025')
([('08046032', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08039601'), ('08039601', '_synset_domain_topic_of', '00759694')], '00759694')
([('01936753', '¬_derivationally_related_form', '00448466'), ('00448466', '_hypernym', '00523513'), ('00523513', '¬_synset_domain_topic_of', '07465448')], '00523513')
([('01684663', '¬_derivationally_related_form', '00936620'), ('00936620', '_hypernym', '00933420'), ('00933420', '¬_derivationally_related_form', '09812338')], '00933420')
([('08455271', '¬_synset_domain_topic_of', '01196316'), ('01196316', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '07339941')], '08199025')
([('00399368', '¬_verb_group', '00399074'), ('00399074', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '11515325')], '06090869')
([('08595054', '_hypernym', '08594286'), ('08594286', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00964343')], '08199025')
([('01702514', '¬_derivationally_related_form', '07092592'), ('07092592', '¬_synset_domain_topic_of', '01703613'), ('01703613', '_hypernym', '01702514')], '07092592')
([('09240621', '¬_has_part', '14682133'), ('14682133', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00497391')], '06084469')
([('08045140', '¬_member_of_domain_region', '08975902'), ('08975902', '_member_of_domain_region', '08026539'), ('08026539', '_synset_domain_topic_of', '00759694')], '00759694')
([('11473954', '¬_hypernym', '11506349'), ('11506349', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '00574341')], '06090869')
([('01182654', '¬_hypernym', '01183497'), ('01183497', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '05179180')], '08441203')
([('06581410', '¬_hypernym', '06574473'), ('06574473', 'NO_OP', '06574473'), ('06574473', '_synset_domain_topic_of', '06128570')], '06128570')
([('06020737', '¬_hypernym', '06027264'), ('06027264', 'NO_OP', '06027264'), ('06027264', '_synset_domain_topic_of', '06018465')], '06018465')
([('10259348', '_hypernym', '09943239'), ('09943239', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08214470')], '08199025')
