NELL-995, is_taller_NELL_PPO_simple_distance_250
([('concept_building_season', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_geopoliticallocation_caribbean', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', 'concept:locationlocatedwithinlocation', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_politicsissue_god', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', '¬concept:atdate', 'concept_city_beijing'), ('concept_city_beijing', 'concept:proxyfor', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_florida', '¬concept:proxyfor', 'concept_date_n2000'), ('concept_date_n2000', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_mountain_congress', 'concept:atdate', 'concept_dateliteral_n2007'), ('concept_dateliteral_n2007', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_hobby_work', '¬concept:mutualproxyfor', 'concept_coach_new'), ('concept_coach_new', 'concept:subpartof', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_charactertrait_role', 'concept:atdate', 'concept_dateliteral_n2007'), ('concept_dateliteral_n2007', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_hobby_work', '¬concept:mutualproxyfor', 'concept_coach_new'), ('concept_coach_new', 'concept:subpartof', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_alabama', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_cooperation', 'concept:agentparticipatedinevent', 'concept_eventoutcome_result'), ('concept_eventoutcome_result', '¬concept:agentparticipatedinevent', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_mountain_congress', 'concept:atdate', 'concept_year_n1981'), ('concept_year_n1981', 'concept:atlocation', 'concept_stateorprovince_california'), ('concept_stateorprovince_california', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicsong_plan', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_washington_d_c', 'concept:atdate', 'concept_date_n2000'), ('concept_date_n2000', '¬concept:atdate', 'concept_country_australia'), ('concept_country_australia', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_county_conditions', 'concept:atdate', 'concept_dateliteral_n2007'), ('concept_dateliteral_n2007', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_politicsissue_god', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', 'concept:proxyfor', 'concept_lake_new'), ('concept_lake_new', 'concept:proxyfor', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_virginia', 'concept:proxyfor', 'concept_lake_new'), ('concept_lake_new', 'concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicsong_thing', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_rights', 'concept:agentparticipatedinevent', 'concept_eventoutcome_result'), ('concept_eventoutcome_result', '¬concept:agentparticipatedinevent', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_washington_dc', 'concept:atdate', 'concept_dateliteral_n2008'), ('concept_dateliteral_n2008', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_maryland', 'concept:stateorprovinceisborderedbystateorprovince', 'concept_stateorprovince_pennsylvania'), ('concept_stateorprovince_pennsylvania', 'concept:istallerthan', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicalbum_foundation', 'concept:atdate', 'concept_dateliteral_n2006'), ('concept_dateliteral_n2006', '¬concept:atdate', 'concept_country_china'), ('concept_country_china', '¬concept:hasofficeincountry', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_politicalparty_parliament', 'concept:atdate', 'concept_date_n1999'), ('concept_date_n1999', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'concept:agentparticipatedinevent', 'concept_crimeorcharge_criminal_acts')], 'concept_publication_people_')
([('concept_city_boston', '¬concept:mutualproxyfor', 'concept_stateorprovince_massachusetts'), ('concept_stateorprovince_massachusetts', '¬concept:proxyfor', 'concept_date_n1999'), ('concept_date_n1999', '¬concept:atdate', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_illinois', 'NO_OP', 'concept_stateorprovince_illinois'), ('concept_stateorprovince_illinois', 'concept:mutualproxyfor', 'concept_lake_new'), ('concept_lake_new', 'concept:locationlocatedwithinlocation', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_mexico_city', 'concept:atdate', 'concept_dateliteral_n2006'), ('concept_dateliteral_n2006', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_county_philadelphia', '¬concept:mutualproxyfor', 'concept_stateorprovince_pennsylvania'), ('concept_stateorprovince_pennsylvania', 'concept:istallerthan', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_alabama', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', 'concept:locationlocatedwithinlocation', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_charactertrait_initiative', 'concept:atdate', 'concept_date_n2000'), ('concept_date_n2000', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_place', 'concept:subpartof', 'concept_weatherphenomenon_air'), ('concept_weatherphenomenon_air', '¬concept:subpartof', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_island_mother', 'concept:atdate', 'concept_year_n1997'), ('concept_year_n1997', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_televisionshow_region', 'concept:atdate', 'concept_date_n1999'), ('concept_date_n1999', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_country_australia', 'concept:atdate', 'concept_year_n1997'), ('concept_year_n1997', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_place', 'concept:atdate', 'concept_year_n1995'), ('concept_year_n1995', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_indiana', 'NO_OP', 'concept_stateorprovince_indiana'), ('concept_stateorprovince_indiana', 'concept:atlocation', 'concept_stateorprovince_pennsylvania'), ('concept_stateorprovince_pennsylvania', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicalbum_idea', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_sociopolitical_justice', 'concept:atdate', 'concept_year_n1995'), ('concept_year_n1995', '¬concept:mutualproxyfor', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_rights', 'concept:atdate', 'concept_date_n2000'), ('concept_date_n2000', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_paris', 'concept:atdate', 'concept_year_n1997'), ('concept_year_n1997', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_visualizablescene_property', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', 'concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_landscapefeatures_sites', '¬concept:atlocation', 'concept_beverage_new'), ('concept_beverage_new', 'concept:atlocation', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_book_film', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_alaska', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_comedian_day'), ('concept_comedian_day', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_hawaii', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_county_websites', 'concept:agentparticipatedinevent', 'concept_eventoutcome_result'), ('concept_eventoutcome_result', '¬concept:agentparticipatedinevent', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_website_platform', 'concept:atdate', 'concept_dateliteral_n2007'), ('concept_dateliteral_n2007', '¬concept:atdate', 'concept_stateorprovince_new_jersey'), ('concept_stateorprovince_new_jersey', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_mexico_city', 'concept:atdate', 'concept_date_n2003'), ('concept_date_n2003', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_emotion_part', 'concept:atdate', 'concept_year_n1998'), ('concept_year_n1998', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_visualizablething_employment', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_person_president', 'concept:atdate', 'concept_year_n1995'), ('concept_year_n1995', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicalbum_story', 'concept:atdate', 'concept_date_n1999'), ('concept_date_n1999', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicsong_times', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_governmentorganization_governments', 'concept:agentparticipatedinevent', 'concept_crimeorcharge_crimes'), ('concept_crimeorcharge_crimes', '¬concept:agentparticipatedinevent', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_washington_d_c', 'concept:atdate', 'concept_dateliteral_n2006'), ('concept_dateliteral_n2006', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_televisionshow_region', 'concept:atdate', 'concept_year_n1998'), ('concept_year_n1998', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_county_conditions', 'concept:atdate', 'concept_dateliteral_n2007'), ('concept_dateliteral_n2007', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_website_knowledge', 'NO_OP', 'concept_website_knowledge'), ('concept_website_knowledge', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', 'concept:locationlocatedwithinlocation', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_new_hampshire', 'NO_OP', 'concept_stateorprovince_new_hampshire'), ('concept_stateorprovince_new_hampshire', '¬concept:stateorprovinceisborderedbystateorprovince', 'concept_stateorprovince_vermont'), ('concept_stateorprovince_vermont', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicalbum_idea', 'concept:atdate', 'concept_dateliteral_n2006'), ('concept_dateliteral_n2006', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_sydney', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_country_australia', 'concept:proxyfor', 'concept_lake_new'), ('concept_lake_new', 'concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_book_things', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_country_china'), ('concept_country_china', '¬concept:hasofficeincountry', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_county_new_mexico', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicalbum_foundation', 'concept:atdate', 'concept_date_n2003'), ('concept_date_n2003', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_geopoliticallocation_caribbean', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_governmentorganization_governments', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_website_campaign', 'concept:atdate', 'concept_date_n2000'), ('concept_date_n2000', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_island_mother', 'concept:atdate', 'concept_dateliteral_n2006'), ('concept_dateliteral_n2006', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_county_new_mexico', 'concept:proxyfor', 'concept_coach_new'), ('concept_coach_new', 'concept:subpartof', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_sociopolitical_justice', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_ohio', 'concept:stateorprovinceisborderedbystateorprovince', 'concept_stateorprovince_pennsylvania'), ('concept_stateorprovince_pennsylvania', 'concept:istallerthan', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_florida', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_sociopolitical_democracy'), ('concept_sociopolitical_democracy', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_south_carolina', 'concept:proxyfor', 'concept_lake_new'), ('concept_lake_new', 'concept:locationlocatedwithinlocation', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_new_jersey', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_parents', 'concept:agentparticipatedinevent', 'concept_crimeorcharge_crimes'), ('concept_crimeorcharge_crimes', '¬concept:agentparticipatedinevent', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicsong_plan', 'concept:atdate', 'concept_year_n1997'), ('concept_year_n1997', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_land', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_sociopolitical_justice', 'concept:atdate', 'concept_dateliteral_n2006'), ('concept_dateliteral_n2006', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_hope', 'concept:agentactsinlocation', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_massachusetts', 'NO_OP', 'concept_stateorprovince_massachusetts'), ('concept_stateorprovince_massachusetts', '¬concept:proxyfor', 'concept_date_n1999'), ('concept_date_n1999', '¬concept:atdate', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_country_australia', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', 'concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_washington_dc', 'concept:atdate', 'concept_dateliteral_n2007'), ('concept_dateliteral_n2007', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_cooperation', 'concept:agentparticipatedinevent', 'concept_eventoutcome_result'), ('concept_eventoutcome_result', '¬concept:agentparticipatedinevent', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_visualizablething_use', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_museum_opportunities', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', 'concept:locationlocatedwithinlocation', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_charactertrait_world', 'concept:atdate', 'concept_date_n1999'), ('concept_date_n1999', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_illinois', 'concept:mutualproxyfor', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicalbum_family', 'concept:atdate', 'concept_date_n2003'), ('concept_date_n2003', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_vermont', 'concept:stateorprovinceisborderedbystateorprovince', 'concept_stateorprovince_new_hampshire'), ('concept_stateorprovince_new_hampshire', 'concept:istallerthan', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_county_philadelphia', 'concept:proxyfor', 'concept_stateorprovince_pennsylvania'), ('concept_stateorprovince_pennsylvania', '¬concept:stateorprovinceisborderedbystateorprovince', 'concept_stateorprovince_maryland'), ('concept_stateorprovince_maryland', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_geometricshape_course', 'concept:atdate', 'concept_date_n2000'), ('concept_date_n2000', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_politicsissue_god', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', '¬concept:istallerthan', 'concept_city_members')], 'concept_publication_people_')
([('concept_male_dream', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_stateorprovince_new_jersey'), ('concept_stateorprovince_new_jersey', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_home', 'concept:atdate', 'concept_dateliteral_n1945'), ('concept_dateliteral_n1945', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_male_dream', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_state', 'concept:atlocation', 'concept_country_australia'), ('concept_country_australia', 'concept:istallerthan', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicalbum_system', 'concept:atdate', 'concept_year_n1998'), ('concept_year_n1998', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_georgia', 'concept:proxyfor', 'concept_lake_new'), ('concept_lake_new', 'concept:locationlocatedwithinlocation', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_example', 'concept:atdate', 'concept_dateliteral_n2006'), ('concept_dateliteral_n2006', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_hobby_business', 'concept:subpartof', 'concept_weatherphenomenon_air'), ('concept_weatherphenomenon_air', '¬concept:subpartof', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_book_things', 'concept:atdate', 'concept_dateliteral_n2005'), ('concept_dateliteral_n2005', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_visualizablescene_property', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', 'concept:proxyfor', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_communities', 'concept:mutualproxyfor', 'concept_beverage_new'), ('concept_beverage_new', 'concept:atlocation', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_christ', 'concept:agentcontributedtocreativework', 'concept_musicalbum_commandments'), ('concept_musicalbum_commandments', '¬concept:agentcontributedtocreativework', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_musicalbum_idea', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_politicalparty_parliament', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_book_education', 'concept:atdate', 'concept_year_n1995'), ('concept_year_n1995', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_stateorprovince_alabama', '¬concept:locationlocatedwithinlocation', 'concept_lake_new'), ('concept_lake_new', 'concept:locationlocatedwithinlocation', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_website_platform', 'concept:atdate', 'concept_dateliteral_n2007'), ('concept_dateliteral_n2007', '¬concept:atdate', 'concept_stateorprovince_california'), ('concept_stateorprovince_california', 'concept:istallerthan', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_book_years', 'concept:atdate', 'concept_date_n2003'), ('concept_date_n2003', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_visualizablething_use', 'concept:atdate', 'concept_date_n2004'), ('concept_date_n2004', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_sydney', 'concept:proxyfor', 'concept_country_australia'), ('concept_country_australia', 'concept:istallerthan', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_male_history', 'concept:atdate', 'concept_year_n1997'), ('concept_year_n1997', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_book_education', 'concept:atdate', 'concept_year_n1998'), ('concept_year_n1998', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_nonneginteger_one', 'concept:atdate', 'concept_dateliteral_n2008'), ('concept_dateliteral_n2008', '¬concept:atdate', 'concept_publication_people_'), ('concept_publication_people_', 'NO_OP', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_city_mexico_city', 'concept:atdate', 'concept_dateliteral_n2006'), ('concept_dateliteral_n2006', 'concept:proxyfor', 'concept_lake_new'), ('concept_lake_new', '¬concept:proxyfor', 'concept_publication_people_')], 'concept_publication_people_')
([('concept_magazine_globe', 'concept:agentparticipatedinevent', 'concept_eventoutcome_result'), ('concept_eventoutcome_result', '¬concept:agentparticipatedinevent', 'concept_publication_people_'), ('concept_publication_people_', '¬concept:istallerthan', 'concept_museum_opportunities')], 'concept_publication_people_')
([('concept_charactertrait_initiative', 'concept:atdate', 'concept_dateliteral_n2006'), ('concept_dateliteral_n2006', '¬concept:atdate', 'concept_country_china'), ('concept_country_china', '¬concept:hasofficeincountry', 'concept_publication_people_')], 'concept_publication_people_')
