WN18RR, _derivationally_related_form_WN18_generic_PPO_simple_embedding_100
([('02294436', '¬_derivationally_related_form', '01083504'), ('01083504', '_derivationally_related_form', '00081072'), ('00081072', '_derivationally_related_form', '13285714')], '13285714')
([('07323024', '¬_derivationally_related_form', '00344174'), ('00344174', '_derivationally_related_form', '07323024'), ('07323024', 'NO_OP', '07323024')], '00344174')
([('09861946', 'NO_OP', '09861946'), ('09861946', 'NO_OP', '09861946'), ('09861946', '¬_derivationally_related_form', '01944692')], '01944692')
([('01930874', '_verb_group', '02408281'), ('02408281', '_derivationally_related_form', '00307631'), ('00307631', '¬_derivationally_related_form', '02408281')], '00307631')
([('02812482', 'NO_OP', '02812482'), ('02812482', 'NO_OP', '02812482'), ('02812482', '¬_derivationally_related_form', '08493064')], '08493064')
([('00727991', '¬_derivationally_related_form', '07237758'), ('07237758', '_derivationally_related_form', '00842989'), ('00842989', '¬_derivationally_related_form', '07234230')], '07237758')
([('00248026', '¬_hypernym', '00249556'), ('00249556', '_hypernym', '00248026'), ('00248026', '¬_derivationally_related_form', '13489037')], '13489037')
([('05162455', '¬_derivationally_related_form', '00235368'), ('00235368', '_hypernym', '00441445'), ('00441445', '¬_hypernym', '00236999')], '00235368')
([('00315956', '¬_derivationally_related_form', '13328853'), ('13328853', '_synset_domain_topic_of', '05662532'), ('05662532', '¬_synset_domain_topic_of', '13328853')], '13328853')
([('01323338', '¬_derivationally_related_form', '00224738'), ('00224738', '_hypernym', '00219012'), ('00219012', '¬_derivationally_related_form', '01325774')], '00224738')
([('01053339', '¬_derivationally_related_form', '01857632'), ('01857632', '¬_derivationally_related_form', '01053339'), ('01053339', '_hypernym', '00983824')], '01857632')
([('08248157', '¬_derivationally_related_form', '01707737'), ('01707737', '_hypernym', '01706488'), ('01706488', '¬_hypernym', '01707737')], '01707737')
([('02012043', '¬_derivationally_related_form', '07302267'), ('07302267', 'NO_OP', '07302267'), ('07302267', 'NO_OP', '07302267')], '07302267')
([('13993356', 'NO_OP', '13993356'), ('13993356', '¬_derivationally_related_form', '02650795'), ('02650795', '¬_derivationally_related_form', '08361001')], '02650795')
([('00360932', '¬_derivationally_related_form', '15142167'), ('15142167', '¬_derivationally_related_form', '00056930'), ('00056930', '_derivationally_related_form', '13532886')], '13532886')
([('02638444', '¬_derivationally_related_form', '10737103'), ('10737103', '¬_derivationally_related_form', '00604930'), ('00604930', '¬_derivationally_related_form', '10680153')], '10737103')
([('04211528', '¬_derivationally_related_form', '01346978'), ('01346978', '¬_derivationally_related_form', '04211528'), ('04211528', '_derivationally_related_form', '01345109')], '01346978')
([('00965404', '¬_derivationally_related_form', '01586600'), ('01586600', '_hypernym', '01227675'), ('01227675', '¬_hypernym', '01226875')], '01586600')
([('15060131', '¬_derivationally_related_form', '00081509'), ('00081509', '_derivationally_related_form', '15060131'), ('15060131', 'NO_OP', '15060131')], '00081509')
([('02830157', '¬_derivationally_related_form', '01280014'), ('01280014', '_derivationally_related_form', '00404726'), ('00404726', 'NO_OP', '00404726')], '01280014')
([('05869857', '_hypernym', '05869584'), ('05869584', '¬_hypernym', '05869857'), ('05869857', '¬_derivationally_related_form', '00367685')], '00367685')
([('14458593', '¬_derivationally_related_form', '00865958'), ('00865958', '¬_derivationally_related_form', '07233542'), ('07233542', 'NO_OP', '07233542')], '00865958')
([('01822724', '¬_derivationally_related_form', '10686073'), ('10686073', '¬_derivationally_related_form', '01822724'), ('01822724', '¬_derivationally_related_form', '10686073')], '10686073')
([('00619183', '_hypernym', '00699815'), ('00699815', '¬_hypernym', '00619183'), ('00619183', '¬_derivationally_related_form', '15159819')], '15159819')
([('00631398', '¬_derivationally_related_form', '10705615'), ('10705615', '¬_instance_hypernym', '11080745'), ('11080745', '_instance_hypernym', '10705615')], '10705615')
([('04045397', 'NO_OP', '04045397'), ('04045397', '¬_derivationally_related_form', '01949966'), ('01949966', '_verb_group', '01842508')], '01842508')
([('06722186', '¬_derivationally_related_form', '00201407'), ('00201407', '_hypernym', '00200397'), ('00200397', '¬_derivationally_related_form', '10513120')], '00201407')
([('10775379', '¬_derivationally_related_form', '00768778'), ('00768778', '_derivationally_related_form', '03059366'), ('03059366', '_hypernym', '02934168')], '00768778')
([('00117959', '¬_derivationally_related_form', '00007739'), ('00007739', '_derivationally_related_form', '00117959'), ('00117959', '¬_hypernym', '01265176')], '00007739')
([('00276813', '¬_derivationally_related_form', '00492410'), ('00492410', 'NO_OP', '00492410'), ('00492410', '¬_derivationally_related_form', '10451858')], '00492410')
([('03819595', '¬_derivationally_related_form', '01672168'), ('01672168', '_hypernym', '01673891'), ('01673891', '¬_derivationally_related_form', '10772190')], '01672168')
([('13580415', '¬_derivationally_related_form', '02335828'), ('02335828', '¬_derivationally_related_form', '02669789'), ('02669789', '_derivationally_related_form', '02335828')], '02669789')
([('02466496', '¬_derivationally_related_form', '01068012'), ('01068012', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01195380')], '01068012')
([('10221777', '¬_derivationally_related_form', '03596787'), ('03596787', '_hypernym', '03597469'), ('03597469', '¬_hypernym', '03596787')], '03596787')
([('04835028', '_derivationally_related_form', '00101800'), ('00101800', '¬_derivationally_related_form', '10047459'), ('10047459', '_derivationally_related_form', '07508806')], '10047459')
([('01732713', 'NO_OP', '01732713'), ('01732713', '¬_derivationally_related_form', '10160770'), ('10160770', '¬_derivationally_related_form', '03494278')], '10160770')
([('02581900', 'NO_OP', '02581900'), ('02581900', '¬_derivationally_related_form', '10484858'), ('10484858', '¬_derivationally_related_form', '02581900')], '10484858')
([('00908351', 'NO_OP', '00908351'), ('00908351', '¬_derivationally_related_form', '01129532'), ('01129532', '¬_derivationally_related_form', '00908351')], '01129532')
([('06686174', '¬_derivationally_related_form', '00889555'), ('00889555', '_derivationally_related_form', '06686174'), ('06686174', '¬_derivationally_related_form', '00889555')], '00889555')
([('01062555', 'NO_OP', '01062555'), ('01062555', '¬_derivationally_related_form', '00121166'), ('00121166', '_derivationally_related_form', '01951480')], '00121166')
([('00049900', '¬_derivationally_related_form', '10664340'), ('10664340', '_derivationally_related_form', '10664340'), ('10664340', 'NO_OP', '10664340')], '10664340')
([('13413493', '¬_derivationally_related_form', '00695226'), ('00695226', 'NO_OP', '00695226'), ('00695226', '¬_derivationally_related_form', '13413493')], '00695226')
([('05807306', '¬_derivationally_related_form', '00630223'), ('00630223', '_derivationally_related_form', '05807306'), ('05807306', '¬_hypernym', '05808218')], '00630223')
([('02148369', '¬_derivationally_related_form', '01049685'), ('01049685', '¬_derivationally_related_form', '02147603'), ('02147603', 'NO_OP', '02147603')], '01049685')
([('01159025', '¬_derivationally_related_form', '00271946'), ('00271946', '¬_derivationally_related_form', '01159025'), ('01159025', '¬_derivationally_related_form', '00270826')], '00270826')
([('04714440', '¬_derivationally_related_form', '00561036'), ('00561036', '_also_see', '00508192'), ('00508192', '_also_see', '00561036')], '00508192')
([('07320302', '¬_derivationally_related_form', '00360932'), ('00360932', '_derivationally_related_form', '13532886'), ('13532886', '_derivationally_related_form', '00056930')], '00360932')
([('06037298', 'NO_OP', '06037298'), ('06037298', '¬_derivationally_related_form', '09855630'), ('09855630', '¬_hypernym', '10043163')], '09855630')
([('03234306', '¬_hypernym', '04463273'), ('04463273', '¬_derivationally_related_form', '01582645'), ('01582645', '¬_verb_group', '01690294')], '01582645')
([('10197525', '¬_derivationally_related_form', '00440286'), ('00440286', '¬_derivationally_related_form', '15272029'), ('15272029', '_derivationally_related_form', '02641463')], '00440286')
([('02227741', '¬_derivationally_related_form', '00204439'), ('00204439', '_derivationally_related_form', '02584097'), ('02584097', '¬_derivationally_related_form', '00055315')], '00204439')
([('07187996', '¬_derivationally_related_form', '00759269'), ('00759269', '_also_see', '00894221'), ('00894221', 'NO_OP', '00894221')], '00759269')
([('08966820', '¬_derivationally_related_form', '03084759'), ('03084759', '¬_derivationally_related_form', '08967329'), ('08967329', '_derivationally_related_form', '03084759')], '03084759')
([('01346978', '¬_verb_group', '01345109'), ('01345109', '¬_derivationally_related_form', '00344040'), ('00344040', '_derivationally_related_form', '01423285')], '00344040')
([('14386590', 'NO_OP', '14386590'), ('14386590', '¬_derivationally_related_form', '02662076'), ('02662076', '¬_derivationally_related_form', '14503665')], '02662076')
([('08656590', 'NO_OP', '08656590'), ('08656590', '¬_derivationally_related_form', '01088923'), ('01088923', '¬_derivationally_related_form', '08624385')], '01088923')
([('01416539', '¬_derivationally_related_form', '03481172'), ('03481172', '_hypernym', '03489162'), ('03489162', '¬_hypernym', '03941684')], '03481172')
([('01722447', '¬_derivationally_related_form', '00548802'), ('00548802', '_derivationally_related_form', '01722447'), ('01722447', 'NO_OP', '01722447')], '00548802')
([('10221312', '¬_derivationally_related_form', '00854150'), ('00854150', '_derivationally_related_form', '00512843'), ('00512843', '¬_derivationally_related_form', '00854150')], '00854150')
([('01033346', 'NO_OP', '01033346'), ('01033346', '¬_derivationally_related_form', '10017272'), ('10017272', '¬_derivationally_related_form', '01033346')], '10017272')
([('00440580', '_derivationally_related_form', '05061345'), ('05061345', '¬_derivationally_related_form', '00438495'), ('00438495', '_derivationally_related_form', '01067577')], '01067577')
([('13983147', '¬_derivationally_related_form', '00291873'), ('00291873', '_derivationally_related_form', '03665366'), ('03665366', '¬_hypernym', '03503997')], '00291873')
([('00086297', '_hypernym', '00085219'), ('00085219', '¬_hypernym', '00085678'), ('00085678', '¬_derivationally_related_form', '02273293')], '02273293')
([('01093380', '¬_derivationally_related_form', '00161225'), ('00161225', 'NO_OP', '00161225'), ('00161225', '¬_verb_group', '00550117')], '00161225')
([('10074339', '¬_derivationally_related_form', '01662118'), ('01662118', '_derivationally_related_form', '10074339'), ('10074339', '¬_derivationally_related_form', '01662118')], '01662118')
([('04826999', 'NO_OP', '04826999'), ('04826999', '¬_derivationally_related_form', '01783158'), ('01783158', '_also_see', '01781478')], '01783158')
([('00797299', 'NO_OP', '00797299'), ('00797299', '¬_derivationally_related_form', '10037080'), ('10037080', '_hypernym', '10034201')], '10037080')
([('00946650', 'NO_OP', '00946650'), ('00946650', '¬_derivationally_related_form', '01315613'), ('01315613', '¬_derivationally_related_form', '10567401')], '01315613')
([('04446521', '_has_part', '04447861'), ('04447861', '¬_has_part', '04446521'), ('04446521', '¬_derivationally_related_form', '00074038')], '00074038')
([('00213223', 'NO_OP', '00213223'), ('00213223', '¬_derivationally_related_form', '07824988'), ('07824988', '_derivationally_related_form', '00213223')], '07824988')
([('10735298', '¬_derivationally_related_form', '01781757'), ('01781757', '_hypernym', '01781520'), ('01781520', 'NO_OP', '01781520')], '01781757')
([('02225911', '¬_derivationally_related_form', '04384406'), ('04384406', '¬_has_part', '02958343'), ('02958343', '¬_hypernym', '03543394')], '04384406')
([('02381571', '¬_derivationally_related_form', '14441825'), ('14441825', '¬_hypernym', '14444114'), ('14444114', '¬_derivationally_related_form', '02204242')], '14441825')
([('00203866', '¬_hypernym', '00092293'), ('00092293', '_derivationally_related_form', '13464204'), ('13464204', '_derivationally_related_form', '00203866')], '13464204')
([('06738281', 'NO_OP', '06738281'), ('06738281', '¬_derivationally_related_form', '00965035'), ('00965035', '¬_derivationally_related_form', '07201365')], '00965035')
([('00194414', '_derivationally_related_form', '00530592'), ('00530592', '_derivationally_related_form', '00194414'), ('00194414', '¬_derivationally_related_form', '00530829')], '00530829')
([('01069311', '_derivationally_related_form', '01801847'), ('01801847', '¬_hypernym', '01802070'), ('01802070', '¬_derivationally_related_form', '01069311')], '01802070')
([('06522501', '¬_derivationally_related_form', '02460619'), ('02460619', '¬_derivationally_related_form', '06522501'), ('06522501', '¬_derivationally_related_form', '02208537')], '02460619')
([('07221094', 'NO_OP', '07221094'), ('07221094', '¬_derivationally_related_form', '00952524'), ('00952524', '¬_hypernym', '00921300')], '00952524')
([('03074855', 'NO_OP', '03074855'), ('03074855', 'NO_OP', '03074855'), ('03074855', '¬_derivationally_related_form', '01596645')], '01596645')
([('13908201', '¬_derivationally_related_form', '01556572'), ('01556572', '_hypernym', '01556346'), ('01556346', 'NO_OP', '01556346')], '01556572')
([('01155421', '¬_derivationally_related_form', '03386011'), ('03386011', '_derivationally_related_form', '01606205'), ('01606205', '_derivationally_related_form', '03385557')], '03386011')
([('01484027', '¬_derivationally_related_form', '07419233'), ('07419233', '_derivationally_related_form', '00374534'), ('00374534', '_derivationally_related_form', '07419233')], '07419233')
([('00163441', '¬_derivationally_related_form', '00265119'), ('00265119', '¬_derivationally_related_form', '00164201'), ('00164201', '_hypernym', '01631072')], '00265119')
([('01462468', '¬_derivationally_related_form', '02681084'), ('02681084', '¬_derivationally_related_form', '01462468'), ('01462468', '_derivationally_related_form', '00380696')], '02681084')
([('00339464', '¬_derivationally_related_form', '07423560'), ('07423560', 'NO_OP', '07423560'), ('07423560', '¬_hypernym', '07423899')], '07423560')
([('00359903', '¬_derivationally_related_form', '01248782'), ('01248782', '_derivationally_related_form', '00359903'), ('00359903', '¬_derivationally_related_form', '00429060')], '01248782')
([('00101629', '¬_derivationally_related_form', '00839597'), ('00839597', '¬_derivationally_related_form', '00101629'), ('00101629', '_hypernym', '00010241')], '00839597')
([('02306462', '¬_derivationally_related_form', '13308864'), ('13308864', '_derivationally_related_form', '02306462'), ('02306462', '_derivationally_related_form', '01127623')], '13308864')
([('00889740', '¬_derivationally_related_form', '01061203'), ('01061203', 'NO_OP', '01061203'), ('01061203', '¬_derivationally_related_form', '00889740')], '01061203')
([('14422035', '¬_derivationally_related_form', '00594413'), ('00594413', '¬_derivationally_related_form', '14422035'), ('14422035', '_hypernym', '14420464')], '00594413')
([('02659763', '¬_derivationally_related_form', '04930307'), ('04930307', '_hypernym', '04928903'), ('04928903', '¬_hypernym', '04931428')], '04930307')
([('06405198', '¬_derivationally_related_form', '00997794'), ('00997794', '_derivationally_related_form', '06405198'), ('06405198', '_hypernym', '06404582')], '00997794')
([('01846916', '¬_derivationally_related_form', '00295701'), ('00295701', '¬_hypernym', '00296263'), ('00296263', 'NO_OP', '00296263')], '00295701')
([('00218753', '¬_derivationally_related_form', '01656458'), ('01656458', '_hypernym', '01619929'), ('01619929', '¬_derivationally_related_form', '10008716')], '01656458')
([('04659287', 'NO_OP', '04659287'), ('04659287', '¬_derivationally_related_form', '01026262'), ('01026262', '¬_derivationally_related_form', '00764902')], '01026262')
([('13905572', '_derivationally_related_form', '01985524'), ('01985524', '¬_derivationally_related_form', '13905572'), ('13905572', '¬_derivationally_related_form', '02717701')], '02717701')
([('02493260', '¬_derivationally_related_form', '10536897'), ('10536897', '_hypernym', '10526096'), ('10526096', '¬_hypernym', '10536897')], '10536897')
([('00921072', '¬_derivationally_related_form', '06782680'), ('06782680', '_hypernym', '06782019'), ('06782019', 'NO_OP', '06782019')], '06782680')
([('02338386', '¬_derivationally_related_form', '14875077'), ('14875077', '¬_hypernym', '14686352'), ('14686352', 'NO_OP', '14686352')], '14875077')
([('10038929', '¬_derivationally_related_form', '00789237'), ('00789237', '_derivationally_related_form', '10038929'), ('10038929', '_derivationally_related_form', '01121948')], '00789237')
([('10149436', '¬_derivationally_related_form', '01043231'), ('01043231', '_derivationally_related_form', '02395406'), ('02395406', '¬_derivationally_related_form', '01043231')], '01043231')
([('01666894', '¬_derivationally_related_form', '05844105'), ('05844105', '_derivationally_related_form', '10155849'), ('10155849', '¬_derivationally_related_form', '05256862')], '05844105')
([('02394445', '¬_derivationally_related_form', '01140839'), ('01140839', '¬_derivationally_related_form', '02394445'), ('02394445', '¬_derivationally_related_form', '10005721')], '10005721')
([('01215421', '¬_derivationally_related_form', '05097845'), ('05097845', 'NO_OP', '05097845'), ('05097845', 'NO_OP', '05097845')], '05097845')
([('02059462', '¬_derivationally_related_form', '10502576'), ('10502576', '¬_derivationally_related_form', '02059462'), ('02059462', '¬_derivationally_related_form', '00555648')], '10502576')
([('10743124', 'NO_OP', '10743124'), ('10743124', '_hypernym', '10741590'), ('10741590', '_derivationally_related_form', '01158872')], '01158872')
([('00165942', '¬_derivationally_related_form', '00014549'), ('00014549', '_derivationally_related_form', '10484526'), ('10484526', '_synset_domain_topic_of', '06652878')], '00014549')
([('01363648', '¬_derivationally_related_form', '00712225'), ('00712225', '_derivationally_related_form', '01264283'), ('01264283', '¬_hypernym', '01265246')], '00712225')
([('02871060', '¬_derivationally_related_form', '03299929'), ('03299929', '_derivationally_related_form', '02871060'), ('02871060', 'NO_OP', '02871060')], '03299929')
([('03916470', '_hypernym', '03916031'), ('03916031', '_derivationally_related_form', '02126382'), ('02126382', '_derivationally_related_form', '05714466')], '02126382')
([('05967097', '¬_derivationally_related_form', '10515194'), ('10515194', '¬_hypernym', '09911051'), ('09911051', '_hypernym', '10515194')], '10515194')
([('02037090', '¬_derivationally_related_form', '13889602'), ('13889602', '_derivationally_related_form', '02037090'), ('02037090', '¬_derivationally_related_form', '04051549')], '13889602')
([('02581477', '¬_derivationally_related_form', '10484858'), ('10484858', '_hypernym', '10372373'), ('10372373', '¬_hypernym', '10517826')], '10484858')
([('02505606', '¬_derivationally_related_form', '02855793'), ('02855793', '_derivationally_related_form', '02505606'), ('02505606', '¬_derivationally_related_form', '02855793')], '02855793')
([('13845838', '¬_derivationally_related_form', '00394563'), ('00394563', '¬_derivationally_related_form', '13845838'), ('13845838', '¬_derivationally_related_form', '00394563')], '00394563')
([('02330583', '¬_derivationally_related_form', '03454536'), ('03454536', '_derivationally_related_form', '02330583'), ('02330583', 'NO_OP', '02330583')], '03454536')
([('00492410', '¬_derivationally_related_form', '14498404'), ('14498404', '_hypernym', '14497763'), ('14497763', '¬_hypernym', '14498096')], '14498404')
([('01683758', 'NO_OP', '01683758'), ('01683758', '¬_derivationally_related_form', '03769397'), ('03769397', '_hypernym', '03876519')], '03769397')
([('05601357', '¬_hypernym', '05601662'), ('05601662', '_hypernym', '05601357'), ('05601357', '¬_derivationally_related_form', '00028565')], '00028565')
([('04081044', '¬_derivationally_related_form', '01610101'), ('01610101', '¬_derivationally_related_form', '04081044'), ('04081044', '_derivationally_related_form', '01502946')], '01610101')
([('01159025', 'NO_OP', '01159025'), ('01159025', '¬_derivationally_related_form', '00270826'), ('00270826', '¬_derivationally_related_form', '04294212')], '00270826')
([('01888511', '¬_derivationally_related_form', '10498046'), ('10498046', '¬_derivationally_related_form', '01889129'), ('01889129', '_derivationally_related_form', '10498046')], '10498046')
([('02464866', 'NO_OP', '02464866'), ('02464866', '¬_derivationally_related_form', '10597234'), ('10597234', '¬_derivationally_related_form', '02464866')], '10597234')
([('06055300', 'NO_OP', '06055300'), ('06055300', '¬_derivationally_related_form', '10421470'), ('10421470', '_derivationally_related_form', '06084469')], '10421470')
([('00807461', '¬_derivationally_related_form', '07246742'), ('07246742', '¬_derivationally_related_form', '00807461'), ('00807461', '¬_derivationally_related_form', '10018021')], '10018021')
([('02934594', '¬_derivationally_related_form', '05558345'), ('05558345', 'NO_OP', '05558345'), ('05558345', '¬_has_part', '05556943')], '05556943')
([('04910973', '¬_derivationally_related_form', '01508719'), ('01508719', '_derivationally_related_form', '04910973'), ('04910973', '¬_derivationally_related_form', '01156112')], '01508719')
([('04681387', 'NO_OP', '04681387'), ('04681387', 'NO_OP', '04681387'), ('04681387', '¬_derivationally_related_form', '01275762')], '01275762')
([('01870043', '¬_derivationally_related_form', '00345149'), ('00345149', '_derivationally_related_form', '01870043'), ('01870043', '¬_derivationally_related_form', '00345149')], '00345149')
([('00226566', '¬_derivationally_related_form', '05036394'), ('05036394', '¬_hypernym', '05035353'), ('05035353', 'NO_OP', '05035353')], '05036394')
([('04982207', 'NO_OP', '04982207'), ('04982207', '¬_derivationally_related_form', '02190188'), ('02190188', '_derivationally_related_form', '04982478')], '02190188')
([('01533120', '¬_derivationally_related_form', '05118251'), ('05118251', '_hypernym', '05093890'), ('05093890', '¬_hypernym', '05117660')], '05118251')
([('14598079', 'NO_OP', '14598079'), ('14598079', 'NO_OP', '14598079'), ('14598079', '¬_derivationally_related_form', '01539063')], '01539063')
([('01251228', '¬_derivationally_related_form', '00251780'), ('00251780', '_hypernym', '00251013'), ('00251013', '¬_derivationally_related_form', '00035758')], '00251780')
([('01961691', '¬_derivationally_related_form', '02466132'), ('02466132', '_derivationally_related_form', '01961691'), ('01961691', 'NO_OP', '01961691')], '02466132')
([('00432839', '¬_derivationally_related_form', '14489113'), ('14489113', '¬_derivationally_related_form', '00432839'), ('00432839', '¬_derivationally_related_form', '13556509')], '13556509')
([('01733667', 'NO_OP', '01733667'), ('01733667', '¬_derivationally_related_form', '10754578'), ('10754578', '¬_derivationally_related_form', '04536866')], '10754578')
([('01256867', 'NO_OP', '01256867'), ('01256867', '¬_derivationally_related_form', '13916721'), ('13916721', '_derivationally_related_form', '01256867')], '13916721')
([('00156625', '¬_derivationally_related_form', '00851239'), ('00851239', '¬_derivationally_related_form', '10209246'), ('10209246', '_derivationally_related_form', '01789514')], '00851239')
([('01449796', '¬_derivationally_related_form', '05021151'), ('05021151', '¬_derivationally_related_form', '01449796'), ('01449796', '¬_derivationally_related_form', '05021151')], '05021151')
([('02161922', '¬_derivationally_related_form', '00375625'), ('00375625', '_hypernym', '00374224'), ('00374224', '_derivationally_related_form', '00290302')], '00375625')
([('00331655', '¬_derivationally_related_form', '01884974'), ('01884974', 'NO_OP', '01884974'), ('01884974', '_derivationally_related_form', '07364700')], '01884974')
([('01600191', 'NO_OP', '01600191'), ('01600191', '¬_derivationally_related_form', '00382109'), ('00382109', '¬_derivationally_related_form', '02476870')], '00382109')
([('13984944', '¬_derivationally_related_form', '02768702'), ('02768702', '¬_derivationally_related_form', '08646306'), ('08646306', '¬_derivationally_related_form', '00273082')], '02768702')
([('05772044', 'NO_OP', '05772044'), ('05772044', '¬_derivationally_related_form', '00143704'), ('00143704', '_derivationally_related_form', '05772044')], '00143704')
([('02577755', '¬_derivationally_related_form', '02776205'), ('02776205', '¬_has_part', '04474466'), ('04474466', '_derivationally_related_form', '01480770')], '02776205')
([('02243567', '¬_derivationally_related_form', '00335988'), ('00335988', '_derivationally_related_form', '01884383'), ('01884383', 'NO_OP', '01884383')], '00335988')
([('07313241', '¬_derivationally_related_form', '01387786'), ('01387786', '¬_derivationally_related_form', '07313241'), ('07313241', '_derivationally_related_form', '00366547')], '01387786')
([('04980656', '¬_derivationally_related_form', '01053144'), ('01053144', '¬_derivationally_related_form', '05714894'), ('05714894', '_derivationally_related_form', '01053144')], '01053144')
([('00121678', '¬_derivationally_related_form', '00351334'), ('00351334', '_derivationally_related_form', '01946408'), ('01946408', '_synset_domain_topic_of', '02858304')], '00351334')
([('00442981', '¬_derivationally_related_form', '01962865'), ('01962865', '_synset_domain_topic_of', '00441824'), ('00441824', '¬_synset_domain_topic_of', '01962865')], '01962865')
([('01465713', '¬_derivationally_related_form', '01445027'), ('01445027', '_derivationally_related_form', '01465713'), ('01465713', '¬_derivationally_related_form', '00198213')], '00198213')
([('02619924', '¬_derivationally_related_form', '13962166'), ('13962166', '_derivationally_related_form', '02619924'), ('02619924', '_derivationally_related_form', '10681194')], '13962166')
([('02923510', '¬_derivationally_related_form', '08095647'), ('08095647', '_hypernym', '08111783'), ('08111783', '_derivationally_related_form', '00411312')], '08095647')
([('02258617', '¬_derivationally_related_form', '00623670'), ('00623670', '_hypernym', '00575741'), ('00575741', '¬_hypernym', '00577068')], '00623670')
([('02545045', '¬_derivationally_related_form', '04858785'), ('04858785', '¬_derivationally_related_form', '02545045'), ('02545045', 'NO_OP', '02545045')], '04858785')
([('06508816', '¬_derivationally_related_form', '01001643'), ('01001643', '_derivationally_related_form', '06508816'), ('06508816', '¬_derivationally_related_form', '00869931')], '01001643')
([('03212811', '_derivationally_related_form', '00229280'), ('00229280', '¬_derivationally_related_form', '13468306'), ('13468306', '¬_derivationally_related_form', '00229026')], '00229026')
([('02690270', '¬_derivationally_related_form', '01923637'), ('01923637', 'NO_OP', '01923637'), ('01923637', '¬_derivationally_related_form', '02690270')], '01923637')
([('05278152', 'NO_OP', '05278152'), ('05278152', '¬_derivationally_related_form', '02996605'), ('02996605', '_derivationally_related_form', '05278152')], '02996605')
([('07163988', '¬_derivationally_related_form', '00927430'), ('00927430', '¬_derivationally_related_form', '07162680'), ('07162680', 'NO_OP', '07162680')], '00927430')
([('00082308', 'NO_OP', '00082308'), ('00082308', '¬_derivationally_related_form', '14445379'), ('14445379', 'NO_OP', '14445379')], '14445379')
([('02386845', '¬_derivationally_related_form', '01128984'), ('01128984', 'NO_OP', '01128984'), ('01128984', '¬_derivationally_related_form', '00406053')], '01128984')
([('00077419', 'NO_OP', '00077419'), ('00077419', 'NO_OP', '00077419'), ('00077419', '¬_derivationally_related_form', '02210855')], '02210855')
([('09722399', '¬_member_meronym', '08966820'), ('08966820', '¬_derivationally_related_form', '03084759'), ('03084759', '_derivationally_related_form', '09722399')], '03084759')
([('02270404', '¬_derivationally_related_form', '10252674'), ('10252674', '¬_derivationally_related_form', '02270404'), ('02270404', 'NO_OP', '02270404')], '10252674')
([('01028079', '¬_derivationally_related_form', '01037819'), ('01037819', 'NO_OP', '01037819'), ('01037819', '_derivationally_related_form', '09838701')], '01037819')
([('01975912', 'NO_OP', '01975912'), ('01975912', '¬_derivationally_related_form', '05110408'), ('05110408', '_hypernym', '05108947')], '05110408')
([('00186567', '¬_derivationally_related_form', '14634591'), ('14634591', '_hypernym', '14877585'), ('14877585', '¬_hypernym', '09210604')], '14634591')
([('13279262', 'NO_OP', '13279262'), ('13279262', '¬_derivationally_related_form', '02253456'), ('02253456', '_derivationally_related_form', '00259643')], '02253456')
([('02123314', '¬_derivationally_related_form', '04647478'), ('04647478', '¬_hypernym', '04648059'), ('04648059', 'NO_OP', '04648059')], '04647478')
([('13814041', 'NO_OP', '13814041'), ('13814041', '¬_derivationally_related_form', '10332385'), ('10332385', '¬_hypernym', '10472274')], '10332385')
([('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', '¬_derivationally_related_form', '05015117')], '05015117')
([('02063018', '¬_derivationally_related_form', '00335384'), ('00335384', '_derivationally_related_form', '02063018'), ('02063018', '¬_derivationally_related_form', '00335384')], '00335384')
([('05837957', '¬_derivationally_related_form', '00648977'), ('00648977', '¬_derivationally_related_form', '00874067'), ('00874067', '_derivationally_related_form', '00670261')], '00648977')
([('00383390', '¬_derivationally_related_form', '01579813'), ('01579813', '_derivationally_related_form', '00383390'), ('00383390', '¬_derivationally_related_form', '01346804')], '01346804')
([('01258302', '¬_derivationally_related_form', '00222376'), ('00222376', '_derivationally_related_form', '01258302'), ('01258302', '_hypernym', '01552519')], '00222376')
([('03323703', '¬_derivationally_related_form', '01356750'), ('01356750', '¬_hypernym', '00567291'), ('00567291', '¬_derivationally_related_form', '14704465')], '01356750')
([('09983572', '¬_derivationally_related_form', '02446660'), ('02446660', '¬_derivationally_related_form', '09983572'), ('09983572', '¬_hypernym', '10321126')], '02446660')
([('01119421', '¬_derivationally_related_form', '04954683'), ('04954683', '_derivationally_related_form', '01119421'), ('01119421', '¬_derivationally_related_form', '04953954')], '04954683')
([('00819274', '¬_derivationally_related_form', '10060621'), ('10060621', '¬_derivationally_related_form', '07419599'), ('07419599', '_derivationally_related_form', '10060621')], '10060621')
([('01677509', '¬_derivationally_related_form', '03258730'), ('03258730', 'NO_OP', '03258730'), ('03258730', '_derivationally_related_form', '01677509')], '03258730')
([('00676450', '_derivationally_related_form', '10431625'), ('10431625', '¬_derivationally_related_form', '00676450'), ('00676450', '¬_derivationally_related_form', '00161243')], '00161243')
([('00197419', '¬_derivationally_related_form', '02405390'), ('02405390', '_verb_group', '00162688'), ('00162688', '_hypernym', '01631072')], '02405390')
