FB15K-237, film_genre_FB_PPO_distance_22
([('/m/04jwjq', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/099ks0'), ('/m/099ks0', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/01p3ty'), ('/m/01p3ty', '/film/film/genre', '/m/03q4nz')], '/m/03q4nz')
([('/m/09fc83', '¬/film/film_subject/films', '/m/0cycc'), ('/m/0cycc', '/film/film_subject/films', '/m/09fc83'), ('/m/09fc83', '/tv/tv_program/genre', '/m/01hmnh')], '/m/01hmnh')
([('/m/04j14qc', '/film/film/genre', '/m/0hn10'), ('/m/0hn10', '/media_common/netflix_genre/titles', '/m/0d8w2n'), ('/m/0d8w2n', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/0fsd9t', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/0_816'), ('/m/0_816', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0l8z1')], '/m/04xvlr')
([('/m/011yl_', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/094wz7q'), ('/m/094wz7q', '¬/film/film/other_crew./film/film_crew_gig/crewmember', '/m/0fjyzt'), ('/m/0fjyzt', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/02ph9tm', '/film/film/production_companies', '/m/017s11'), ('/m/017s11', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/0b7l4x'), ('/m/0b7l4x', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/035xwd', '¬/film/actor/film./film/performance/film', '/m/06cgy'), ('/m/06cgy', '/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/0h95927'), ('/m/0h95927', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/02sg5v', '/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/02qrv7'), ('/m/02qrv7', '¬/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/0164qt'), ('/m/0164qt', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/02725hs', '/film/film/production_companies', '/m/02j_j0'), ('/m/02j_j0', '¬/film/film/production_companies', '/m/025rxjq'), ('/m/025rxjq', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/01jr4j', '/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/0k5g9'), ('/m/0k5g9', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '/media_common/netflix_genre/titles', '/m/0c34mt')], '/m/02n4kr')
([('/m/026q3s3', '¬/film/special_film_performance_type/film_performance_type./film/performance/film', '/m/01kyvx'), ('/m/01kyvx', '/film/special_film_performance_type/film_performance_type./film/performance/film', '/m/018nnz'), ('/m/018nnz', '/film/film/genre', '/m/0hcr')], '/m/0hcr')
([('/m/0q9sg', '¬/award/award_winning_work/awards_won./award/award_honor/honored_for', '/m/02scbv'), ('/m/02scbv', '/film/film/genre', '/m/02kdv5l'), ('/m/02kdv5l', '¬/film/film/genre', '/m/035_2h')], '/m/02kdv5l')
([('/m/09dv8h', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '¬/film/film/genre', '/m/01ry_x'), ('/m/01ry_x', '¬/film/actor/film./film/performance/film', '/m/03vpf_')], '/m/04t36')
([('/m/03prz_', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0b2km_'), ('/m/0b2km_', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/0dxtw')], '/m/07s9rl0')
([('/m/0dw4b0', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0_9wr'), ('/m/0_9wr', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/08lr6s', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/03cv_gy'), ('/m/03cv_gy', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/0bdwft')], '/m/04xvlr')
([('/m/01rnly', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/0prhz'), ('/m/0prhz', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/0b_c7')], '/m/04xvlr')
([('/m/01h7bb', '/film/film/produced_by', '/m/04g3p5'), ('/m/04g3p5', '/film/director/film', '/m/02jxbw'), ('/m/02jxbw', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/06_sc3', '¬/film/film/prequel', '/m/080dfr7'), ('/m/080dfr7', '¬/media_common/netflix_genre/titles', '/m/03npn'), ('/m/03npn', '¬/film/film/genre', '/m/035yn8')], '/m/03npn')
([('/m/06t6dz', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/04q00lw'), ('/m/04q00lw', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09zzb8')], '/m/07s9rl0')
([('/m/09146g', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/06fxnf'), ('/m/06fxnf', '¬/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/04f52jw'), ('/m/04f52jw', '/film/film/genre', '/m/03k9fj')], '/m/03k9fj')
([('/m/04tz52', '¬/media_common/netflix_genre/titles', '/m/03k9fj'), ('/m/03k9fj', '¬/film/film/genre', '/m/02q7yfq'), ('/m/02q7yfq', '¬/film/actor/film./film/performance/film', '/m/01mt1fy')], '/m/03k9fj')
([('/m/0294mx', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/01rnly'), ('/m/01rnly', '/film/film/music', '/m/01cbt3')], '/m/04xvlr')
([('/m/04y5j64', 'NO_OP', '/m/04y5j64'), ('/m/04y5j64', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0b76t12')], '/m/07s9rl0')
([('/m/05j82v', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/05q96q6'), ('/m/05q96q6', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf')], '/m/04xvlr')
([('/m/04z4j2', '¬/media_common/netflix_genre/titles', '/m/0hfjk'), ('/m/0hfjk', '/media_common/netflix_genre/titles', '/m/039c26'), ('/m/039c26', '/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor', '/m/05th8t')], '/m/0hfjk')
([('/m/0333t', 'NO_OP', '/m/0333t'), ('/m/0333t', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/07024')], '/m/07s9rl0')
([('/m/02q7yfq', '¬/film/actor/film./film/performance/film', '/m/029k55'), ('/m/029k55', '/film/actor/film./film/performance/film', '/m/02sfnv'), ('/m/02sfnv', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/0h6r5', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0pc62'), ('/m/0pc62', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0p9sw')], '/m/07s9rl0')
([('/m/05sxzwc', '/film/film/language', '/m/02h40lc'), ('/m/02h40lc', '¬/film/film/language', '/m/01kqq7'), ('/m/01kqq7', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/04cj79', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/05pt0l'), ('/m/05pt0l', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_')], '/m/07s9rl0')
([('/m/04z257', '/film/film/language', '/m/02bjrlw'), ('/m/02bjrlw', '/media_common/netflix_genre/titles', '/m/011yfd'), ('/m/011yfd', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/07x4qr', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0154j'), ('/m/0154j', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0gg8z1f'), ('/m/0gg8z1f', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/0h14ln', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/011yg9'), ('/m/011yg9', '/film/film/written_by', '/m/0159h6')], '/m/04xvlr')
([('/m/01xvjb', '¬/film/actor/film./film/performance/film', '/m/0mfj2'), ('/m/0mfj2', '¬/film/film/personal_appearances./film/personal_film_appearance/person', '/m/058kh7'), ('/m/058kh7', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/02_06s', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/07s846j'), ('/m/07s846j', '/film/film/genre', '/m/03bxz7')], '/m/07s9rl0')
([('/m/0j3d9tn', '/film/film/genre', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0ddfwj1'), ('/m/0ddfwj1', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/01gvsn', '¬/film/director/film', '/m/029m83'), ('/m/029m83', '/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/0k4p0'), ('/m/0k4p0', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/0170th', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/011yqc'), ('/m/011yqc', '/film/film/film_format', '/m/07fb8_')], '/m/07s9rl0')
([('/m/091rc5', '¬/media_common/netflix_genre/titles', '/m/01z4y'), ('/m/01z4y', '/media_common/netflix_genre/titles', '/m/08952r'), ('/m/08952r', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/0df2zx', '¬/media_common/netflix_genre/titles', '/m/09q17'), ('/m/09q17', '/media_common/netflix_genre/titles', '/m/026hxwx'), ('/m/026hxwx', '¬/film/actor/film./film/performance/film', '/m/03l3ln')], '/m/09q17')
([('/m/0fjyzt', 'NO_OP', '/m/0fjyzt'), ('/m/0fjyzt', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/0kvgxk')], '/m/04xvlr')
([('/m/016017', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/056k77g'), ('/m/056k77g', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/01pvkk')], '/m/01hmnh')
([('/m/04954r', '¬/media_common/netflix_genre/titles', '/m/03k9fj'), ('/m/03k9fj', '/media_common/netflix_genre/titles', '/m/04yg13l'), ('/m/04yg13l', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_')], '/m/03k9fj')
([('/m/02x8fs', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/0dc_ms'), ('/m/0dc_ms', '¬/film/actor/film./film/performance/film', '/m/015wnl')], '/m/01hmnh')
([('/m/0bpx1k', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09zzb8'), ('/m/09zzb8', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/02x6dqb'), ('/m/02x6dqb', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/017z49', 'NO_OP', '/m/017z49'), ('/m/017z49', '¬/media_common/netflix_genre/titles', '/m/09blyk'), ('/m/09blyk', '¬/film/film/genre', '/m/02tktw')], '/m/09blyk')
([('/m/065z3_x', '¬/media_common/netflix_genre/titles', '/m/0jxxt'), ('/m/0jxxt', '/media_common/netflix_genre/titles', '/m/065z3_x'), ('/m/065z3_x', '¬/film/actor/film./film/performance/film', '/m/01skmp')], '/m/0jxxt')
([('/m/02qmsr', '¬/media_common/netflix_genre/titles', '/m/0c3351'), ('/m/0c3351', '/media_common/netflix_genre/titles', '/m/07j94'), ('/m/07j94', '/film/film/featured_film_locations', '/m/0dclg')], '/m/0c3351')
([('/m/02qkwl', '/film/film/featured_film_locations', '/m/080h2'), ('/m/080h2', '¬/film/film/featured_film_locations', '/m/02q0v8n'), ('/m/02q0v8n', '¬/media_common/netflix_genre/titles', '/m/02n4kr')], '/m/02n4kr')
([('/m/07z6xs', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '/media_common/netflix_genre/titles', '/m/06g77c'), ('/m/06g77c', '/film/film/genre', '/m/01jfsb')], '/m/02n4kr')
([('/m/0qm98', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/02q56mk'), ('/m/02q56mk', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0k611')], '/m/07s9rl0')
([('/m/06g77c', '¬/media_common/netflix_genre/titles', '/m/09blyk'), ('/m/09blyk', '/media_common/netflix_genre/titles', '/m/02pcq92'), ('/m/02pcq92', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/09c7w0')], '/m/09blyk')
([('/m/02v5xg', '/tv/tv_program/genre', '/m/0jxy'), ('/m/0jxy', '¬/tv/tv_program/genre', '/m/0dr1c2'), ('/m/0dr1c2', '/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor', '/m/01kymm')], '/m/0jxy')
([('/m/01qncf', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/08y2fn'), ('/m/08y2fn', '¬/media_common/netflix_genre/titles', '/m/07ssc')], '/m/04xvlr')
([('/m/04t6fk', '¬/media_common/netflix_genre/titles', '/m/06qm3'), ('/m/06qm3', '/media_common/netflix_genre/titles', '/m/034xyf'), ('/m/034xyf', '¬/film/actor/film./film/performance/film', '/m/057hz')], '/m/06qm3')
([('/m/04v8h1', '¬/media_common/netflix_genre/titles', '/m/0hfjk'), ('/m/0hfjk', '¬/film/film/genre', '/m/0f4k49'), ('/m/0f4k49', '¬/media_common/netflix_genre/titles', '/m/03mdt')], '/m/0hfjk')
([('/m/0gjk1d', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/05znbh7'), ('/m/05znbh7', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/09v1lrz')], '/m/07s9rl0')
([('/m/04mzf8', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '/media_common/netflix_genre/titles', '/m/05cj_j'), ('/m/05cj_j', '¬/film/actor/film./film/performance/film', '/m/01rnxn')], '/m/01jfsb')
([('/m/0gt14', 'NO_OP', '/m/0gt14'), ('/m/0gt14', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/01lsl')], '/m/03mqtr')
([('/m/05n6sq', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/02v_r7d'), ('/m/02v_r7d', '¬/media_common/netflix_genre/titles', '/m/04xvlr')], '/m/04xvlr')
([('/m/0p_th', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/02_06s'), ('/m/02_06s', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02w9sd7')], '/m/07s9rl0')
([('/m/0pv54', '¬/media_common/netflix_genre/titles', '/m/02qfv5d'), ('/m/02qfv5d', '/media_common/netflix_genre/titles', '/m/078sj4'), ('/m/078sj4', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/03hkv_r')], '/m/02qfv5d')
([('/m/02_fm2', '/film/film/film_format', '/m/0hcr'), ('/m/0hcr', '¬/film/film/genre', '/m/0g9yrw'), ('/m/0g9yrw', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/07bdd_')], '/m/0hcr')
([('/m/050f0s', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/03xp8d5'), ('/m/03xp8d5', '/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/0kfpm'), ('/m/0kfpm', '/tv/tv_program/genre', '/m/05p553')], '/m/05p553')
([('/m/0296rz', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '¬/film/film/genre', '/m/06bd5j'), ('/m/06bd5j', '/film/film/country', '/m/07ssc')], '/m/02n4kr')
([('/m/09q23x', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/01j5ql'), ('/m/01j5ql', '¬/film/actor/film./film/performance/film', '/m/03pp73')], '/m/03mqtr')
([('/m/0d_2fb', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '/media_common/netflix_genre/titles', '/m/0k4d7'), ('/m/0k4d7', '/film/film/genre', '/m/04t36')], '/m/01hmnh')
([('/m/03m5y9p', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/01j5ql'), ('/m/01j5ql', '/film/film/genre', '/m/0vjs6')], '/m/03mqtr')
([('/m/057__d', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/05hjnw'), ('/m/05hjnw', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_')], '/m/07s9rl0')
([('/m/02dr9j', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/094hwz'), ('/m/094hwz', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/065zlr'), ('/m/065zlr', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/064n1pz', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/0g68zt'), ('/m/0g68zt', '/film/film/country', '/m/07ssc')], '/m/01jfsb')
([('/m/0407yj_', '/film/film/language', '/m/064_8sq'), ('/m/064_8sq', '¬/film/film/language', '/m/05_5rjx'), ('/m/05_5rjx', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/02ptczs', '¬/media_common/netflix_genre/titles', '/m/09blyk'), ('/m/09blyk', '/media_common/netflix_genre/titles', '/m/02xs6_'), ('/m/02xs6_', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/09c7w0')], '/m/09blyk')
([('/m/0dqcs3', '¬/media_common/netflix_genre/titles', '/m/03npn'), ('/m/03npn', '¬/film/film/genre', '/m/02vr3gz'), ('/m/02vr3gz', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01mjq')], '/m/03npn')
([('/m/08sk8l', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/02xbyr'), ('/m/02xbyr', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_')], '/m/01hmnh')
([('/m/016kv6', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/019vhk'), ('/m/019vhk', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/03_wm6', '¬/media_common/netflix_genre/titles', '/m/03npn'), ('/m/03npn', '/media_common/netflix_genre/titles', '/m/029k4p'), ('/m/029k4p', '/film/film/genre', '/m/0fdjb')], '/m/03npn')
([('/m/02q_4ph', '/film/film/story_by', '/m/02645b'), ('/m/02645b', '/film/director/film', '/m/02q_4ph'), ('/m/02q_4ph', '¬/media_common/netflix_genre/titles', '/m/04t36')], '/m/04t36')
([('/m/082scv', '/film/film/genre', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/07vfy4'), ('/m/07vfy4', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/016y_f', '¬/media_common/netflix_genre/titles', '/m/09blyk'), ('/m/09blyk', '¬/film/film/genre', '/m/05ch98'), ('/m/05ch98', '/film/film/production_companies', '/m/086k8')], '/m/09blyk')
([('/m/02qdrjx', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/01795t'), ('/m/01795t', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/02rrfzf'), ('/m/02rrfzf', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/0209xj', 'NO_OP', '/m/0209xj'), ('/m/0209xj', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/0g3zrd')], '/m/07s9rl0')
([('/m/07024', '/film/film/language', '/m/01wgr'), ('/m/01wgr', '¬/film/film/language', '/m/02q8ms8'), ('/m/02q8ms8', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
