WN18RR, _similar_to_WN18_generic_PPO_simple_embedding_100
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('02168699', '¬_similar_to', '02166346'), ('02166346', '_also_see', '02244619'), ('02244619', '¬_also_see', '02166346')], '02166346')
([('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', '¬_similar_to', '02513740')], '02513740')
([('01161635', 'NO_OP', '01161635'), ('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('02166346', '¬_similar_to', '02168699'), ('02168699', 'NO_OP', '02168699'), ('02168699', '¬_hypernym', '02169023')], '02168699')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', '¬_similar_to', '00709625')], '00708017')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00167278')], '00167278')
([('00535452', '¬_similar_to', '00536304'), ('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00536304')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', '¬_also_see', '01870889')], '00064479')
([('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910')], '00168910')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('00780575', '¬_similar_to', '00779374'), ('00779374', '¬_similar_to', '00780575'), ('00780575', '¬_similar_to', '00779374')], '00779374')
([('02515214', '¬_similar_to', '02513740'), ('02513740', '_derivationally_related_form', '14563564'), ('14563564', '¬_derivationally_related_form', '02513740')], '02513740')
([('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00168910')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00166146')
([('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910')], '00168910')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00166146')
([('00728826', 'NO_OP', '00728826'), ('00728826', '¬_similar_to', '00727564'), ('00727564', 'NO_OP', '00727564')], '00727564')
([('02504131', '¬_similar_to', '02505141'), ('02505141', '_similar_to', '02504131'), ('02504131', '_derivationally_related_form', '02662297')], '02505141')
([('00709625', '¬_similar_to', '00708017'), ('00708017', '¬_similar_to', '00709625'), ('00709625', '¬_similar_to', '00708017')], '00708017')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_hypernym', '00443670'), ('00443670', 'NO_OP', '00443670')], '00445169')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('01948573', '¬_similar_to', '01947266'), ('01947266', '_also_see', '00849357'), ('00849357', '¬_also_see', '02392878')], '01947266')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535844')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '_hypernym', '01834918'), ('01834918', '¬_member_meronym', '01834702')], '01835276')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('01948573', '¬_similar_to', '01947266'), ('01947266', 'NO_OP', '01947266'), ('01947266', 'NO_OP', '01947266')], '01947266')
([('01809655', '¬_similar_to', '01811172'), ('01811172', 'NO_OP', '01811172'), ('01811172', '_derivationally_related_form', '07538395')], '01811172')
([('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141'), ('02505141', 'NO_OP', '02505141')], '02505141')
([('02166346', '¬_similar_to', '02168699'), ('02168699', 'NO_OP', '02168699'), ('02168699', 'NO_OP', '02168699')], '02168699')
([('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00166146')
([('01161635', 'NO_OP', '01161635'), ('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('02517169', '¬_similar_to', '02515341'), ('02515341', '¬_derivationally_related_form', '05017458'), ('05017458', '¬_derivationally_related_form', '02515341')], '02515341')
([('02504131', 'NO_OP', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', '¬_similar_to', '02505141')], '02505141')
([('01948573', '¬_similar_to', '01947266'), ('01947266', 'NO_OP', '01947266'), ('01947266', 'NO_OP', '01947266')], '01947266')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('02559180', '¬_similar_to', '02559862'), ('02559862', '¬_derivationally_related_form', '04790449'), ('04790449', '_derivationally_related_form', '02559180')], '02559862')
([('01948573', 'NO_OP', '01948573'), ('01948573', '¬_similar_to', '01947266'), ('01947266', '¬_similar_to', '01948573')], '01947266')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_derivationally_related_form', '04686003'), ('04686003', '_derivationally_related_form', '00166146')], '00166146')
([('01751353', 'NO_OP', '01751353'), ('01751353', '¬_similar_to', '01749320'), ('01749320', 'NO_OP', '01749320')], '01749320')
([('02504131', 'NO_OP', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', '¬_similar_to', '02505141')], '02505141')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', '¬_similar_to', '02513740')], '02513740')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00168910')
([('00392093', '¬_similar_to', '00386392'), ('00386392', 'NO_OP', '00386392'), ('00386392', 'NO_OP', '00386392')], '00386392')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('02504131', '¬_similar_to', '02505141'), ('02505141', '_similar_to', '02504131'), ('02504131', '¬_similar_to', '02505141')], '02505141')
([('00535844', 'NO_OP', '00535844'), ('00535844', 'NO_OP', '00535844'), ('00535844', '¬_similar_to', '00535452')], '00535452')
([('00780575', 'NO_OP', '00780575'), ('00780575', '¬_similar_to', '00779374'), ('00779374', 'NO_OP', '00779374')], '00779374')
([('00394562', '¬_similar_to', '00400101'), ('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562')], '00400101')
([('01749320', '¬_similar_to', '01751353'), ('01751353', 'NO_OP', '01751353'), ('01751353', 'NO_OP', '01751353')], '01751353')
([('01947266', '¬_similar_to', '01948573'), ('01948573', 'NO_OP', '01948573'), ('01948573', '_derivationally_related_form', '10127273')], '01948573')
([('00728826', '¬_similar_to', '00727564'), ('00727564', '_also_see', '01061489'), ('01061489', 'NO_OP', '01061489')], '00727564')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', '¬_similar_to', '00131018')], '00130778')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('02559180', 'NO_OP', '02559180'), ('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('01834304', 'NO_OP', '01834304'), ('01834304', '¬_similar_to', '01835276'), ('01835276', '_hypernym', '01834918')], '01835276')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146')], '00166146')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00166146')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('01947266', '¬_similar_to', '01948573'), ('01948573', 'NO_OP', '01948573'), ('01948573', 'NO_OP', '01948573')], '01948573')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('01834304', 'NO_OP', '01834304'), ('01834304', 'NO_OP', '01834304'), ('01834304', '¬_similar_to', '01835276')], '01835276')
([('01895630', 'NO_OP', '01895630'), ('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630')], '01894758')
([('00779374', 'NO_OP', '00779374'), ('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('02166346', '¬_similar_to', '02168699'), ('02168699', 'NO_OP', '02168699'), ('02168699', '¬_similar_to', '02166346')], '02168699')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('01751353', '¬_similar_to', '01749320'), ('01749320', '_also_see', '00914421'), ('00914421', '_also_see', '01749320')], '01749320')
([('02168699', 'NO_OP', '02168699'), ('02168699', '¬_similar_to', '02166346'), ('02166346', '_also_see', '02244619')], '02166346')
([('00320536', 'NO_OP', '00320536'), ('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('00963283', '¬_similar_to', '00962634'), ('00962634', '¬_similar_to', '00963283'), ('00963283', '¬_similar_to', '00962634')], '00962634')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('02559862', '¬_similar_to', '02559180'), ('02559180', '¬_similar_to', '02559862'), ('02559862', '¬_similar_to', '02559180')], '02559180')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('02515214', 'NO_OP', '02515214'), ('02515214', '¬_similar_to', '02513740'), ('02513740', 'NO_OP', '02513740')], '02513740')
([('02166346', 'NO_OP', '02166346'), ('02166346', '¬_similar_to', '02168699'), ('02168699', '¬_similar_to', '02166346')], '02168699')
([('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117')], '01020117')
([('00095873', '¬_similar_to', '00095280'), ('00095280', '¬_similar_to', '00095873'), ('00095873', '¬_similar_to', '00095280')], '00095280')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('01948573', '¬_similar_to', '01947266'), ('01947266', 'NO_OP', '01947266'), ('01947266', 'NO_OP', '01947266')], '01947266')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_similar_to', '01834304'), ('01834304', '¬_similar_to', '01835276')], '01835276')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146')], '00167278')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('00708017', '¬_similar_to', '00709625'), ('00709625', 'NO_OP', '00709625'), ('00709625', '¬_similar_to', '00708017')], '00709625')
([('02168699', '¬_similar_to', '02166346'), ('02166346', '¬_also_see', '02244619'), ('02244619', '_also_see', '02166346')], '02166346')
([('01548193', 'NO_OP', '01548193'), ('01548193', 'NO_OP', '01548193'), ('01548193', '¬_similar_to', '01548694')], '01548694')
([('02517169', '¬_similar_to', '02515341'), ('02515341', '¬_also_see', '01746605'), ('01746605', '¬_derivationally_related_form', '00591519')], '02515341')
([('01252566', 'NO_OP', '01252566'), ('01252566', '¬_similar_to', '01251128'), ('01251128', '¬_similar_to', '01252566')], '01251128')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('00728826', 'NO_OP', '00728826'), ('00728826', '¬_similar_to', '00727564'), ('00727564', 'NO_OP', '00727564')], '00727564')
([('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '_similar_to', '00166146')], '00166146')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('00065184', 'NO_OP', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('01115349', 'NO_OP', '01115349'), ('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', 'NO_OP', '00708017')], '00708017')
([('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('02515341', 'NO_OP', '02515341'), ('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('00780575', '¬_similar_to', '00779374'), ('00779374', '¬_similar_to', '00780575'), ('00780575', '¬_similar_to', '00779374')], '00779374')
([('00167278', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', 'NO_OP', '00166146')], '00166146')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('00708017', '¬_similar_to', '00709625'), ('00709625', '_hypernym', '00709379'), ('00709379', 'NO_OP', '00709379')], '00709625')
([('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('01948573', '¬_similar_to', '01947266'), ('01947266', 'NO_OP', '01947266'), ('01947266', '_also_see', '00849357')], '01947266')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', 'NO_OP', '00394562')], '00394562')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', 'NO_OP', '00708017')], '00708017')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('01548694', 'NO_OP', '01548694'), ('01548694', '¬_similar_to', '01548193'), ('01548193', 'NO_OP', '01548193')], '01548193')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('02515341', '¬_similar_to', '02517169'), ('02517169', '_member_meronym', '02517442'), ('02517442', 'NO_OP', '02517442')], '02517169')
([('00394562', '¬_similar_to', '00400101'), ('00400101', 'NO_OP', '00400101'), ('00400101', '¬_similar_to', '00394562')], '00400101')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('00728826', '¬_similar_to', '00727564'), ('00727564', '¬_also_see', '01061489'), ('01061489', '¬_also_see', '00727564')], '00727564')
([('01751353', '¬_similar_to', '01749320'), ('01749320', '_also_see', '00289365'), ('00289365', 'NO_OP', '00289365')], '01749320')
([('00445169', '¬_similar_to', '00444519'), ('00444519', 'NO_OP', '00444519'), ('00444519', 'NO_OP', '00444519')], '00444519')
([('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01947266', '¬_similar_to', '01948573'), ('01948573', 'NO_OP', '01948573'), ('01948573', 'NO_OP', '01948573')], '01948573')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('01115349', '¬_similar_to', '01116026'), ('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349')], '01116026')
([('00392093', '¬_similar_to', '00386392'), ('00386392', 'NO_OP', '00386392'), ('00386392', 'NO_OP', '00386392')], '00386392')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', '¬_similar_to', '02515341')], '02517169')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', '¬_similar_to', '00709625')], '00708017')
([('01835276', '¬_similar_to', '01834304'), ('01834304', 'NO_OP', '01834304'), ('01834304', '_also_see', '02123812')], '01834304')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', '¬_similar_to', '00536655')], '00535844')
([('00708017', '¬_similar_to', '00709625'), ('00709625', 'NO_OP', '00709625'), ('00709625', 'NO_OP', '00709625')], '00709625')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_hypernym', '00443670'), ('00443670', 'NO_OP', '00443670')], '00445169')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003356')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('01548193', 'NO_OP', '01548193'), ('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', 'NO_OP', '00708017')], '00708017')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('00963283', 'NO_OP', '00963283'), ('00963283', '¬_similar_to', '00962634'), ('00962634', '¬_similar_to', '00963283')], '00962634')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('02559180', 'NO_OP', '02559180'), ('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('02513740', '¬_similar_to', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214')], '02515214')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '_hypernym', '01834918'), ('01834918', '¬_hypernym', '01835276')], '01835276')
([('00167278', 'NO_OP', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', '_similar_to', '00167278')], '00166146')
([('00708017', 'NO_OP', '00708017'), ('00708017', '¬_similar_to', '00709625'), ('00709625', 'NO_OP', '00709625')], '00709625')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('02344381', 'NO_OP', '02344381'), ('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('00727564', 'NO_OP', '00727564'), ('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('01412415', '¬_similar_to', '01412912'), ('01412912', 'NO_OP', '01412912'), ('01412912', '¬_verb_group', '01416193')], '01412912')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
