NELL-995, music_artist_genre_NELL_BASE_simple_embedding_150
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge')], 'concept_musicgenre_rock')
([('concept_musicartist_jimmy_eat_world', 'concept:musicartistgenre', 'concept_musicgenre_emo'), ('concept_musicgenre_emo', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_creedence_clearwater_revival')], 'concept_musicgenre_rock')
([('concept_musicartist_ac_dc', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_bon_jovi'), ('concept_musicartist_bon_jovi', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_dream_theater', 'concept:musicartistgenre', 'concept_musicgenre_progressive_rock'), ('concept_musicgenre_progressive_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_metal')], 'concept_musicgenre_prog')
([('concept_musicartist_dark_funeral', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_ramones', 'concept:musicartistgenre', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_soul')], 'concept_musicgenre_rock')
([('concept_musicartist_devo', 'concept:musicartistgenre', 'concept_musicgenre_new_wave'), ('concept_musicgenre_new_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_proto_punk')], 'concept_musicgenre_rock')
([('concept_musicartist_camel', 'concept:musicartistgenre', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_glam_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_beatles', 'concept:musicartistgenre', 'concept_musicgenre_blues'), ('concept_musicgenre_blues', '¬concept:musicartistgenre', 'concept_musicartist_zz_top'), ('concept_musicartist_zz_top', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_sonic_youth', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_devo')], 'concept_musicgenre_rock')
([('concept_musicartist_strokes', 'concept:musicartistgenre', 'concept_musicgenre_garage'), ('concept_musicgenre_garage', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_pixies')], 'concept_musicgenre_rock')
([('concept_musicartist_lynyrd_skynyrd', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop_punk')], 'concept_musicgenre_rock')
([('concept_musicartist_husker_du', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_indie')], 'concept_musicgenre_rock')
([('concept_musicartist_fairport_convention', 'concept:musicartistgenre', 'concept_musicgenre_british_folk'), ('concept_musicgenre_british_folk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk'), ('concept_musicgenre_folk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_folk')
([('concept_musicartist_arcade_fire', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicartistgenre', 'concept_musicartist_joy_division')], 'concept_musicgenre_indie')
([('concept_musicartist_guns_n_roses', '¬concept:musicianinmusicartist', 'concept_musician_slash'), ('concept_musician_slash', 'concept:musicianinmusicartist', 'concept_musicartist_velvet_revolver'), ('concept_musicartist_velvet_revolver', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_jimmy_eat_world', 'concept:musicartistgenre', 'concept_musicgenre_emo'), ('concept_musicgenre_emo', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_the_beatles', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_r_b'), ('concept_musicgenre_r_b', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_keane', 'NO_OP', 'concept_musicartist_keane'), ('concept_musicartist_keane', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_arcade_fire', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_wave')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_death', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_heavy_metal')
([('concept_musicartist_the_killers', '¬concept:musicianinmusicartist', 'concept_musician_brandon_flowers'), ('concept_musician_brandon_flowers', 'concept:musicianinmusicartist', 'concept_musicartist_killers'), ('concept_musicartist_killers', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_coldplay', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'NO_OP', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_fairport_convention', 'concept:musicartistgenre', 'concept_musicgenre_folk_rock'), ('concept_musicgenre_folk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk'), ('concept_musicgenre_folk', 'NO_OP', 'concept_musicgenre_folk')], 'concept_musicgenre_folk')
([('concept_musicartist_arcade_fire', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_green_day', 'concept:musicartistgenre', 'concept_musicgenre_american'), ('concept_musicgenre_american', 'NO_OP', 'concept_musicgenre_american'), ('concept_musicgenre_american', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_manowar', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_heavy_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_hendrix', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_band')], 'concept_musicgenre_rock')
([('concept_musicartist_the_ramones', 'concept:musicartistgenre', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_sting', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_famous_rock'), ('concept_musicgenre_famous_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_black_flag', 'concept:musicartistgenre', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_buzzcocks', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk_rock')
([('concept_musicartist_smashing_pumpkins', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_boomtown_rats')], 'concept_musicgenre_rock')
([('concept_musicartist_the_clash', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_keane', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american')], 'concept_musicgenre_rock')
([('concept_musicartist_white_stripes', 'concept:musicartistgenre', 'concept_musicgenre_garage'), ('concept_musicgenre_garage', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_melodic_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_judas_priest', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hard_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_ramones', 'concept:musicartistgenre', 'concept_musicgenre_american_punk'), ('concept_musicgenre_american_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_clash', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american_punk'), ('concept_musicgenre_american_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_dissection')], 'concept_musicgenre_metal')
([('concept_musicartist_franz_ferdinand', 'NO_OP', 'concept_musicartist_franz_ferdinand'), ('concept_musicartist_franz_ferdinand', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_the_killers', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_radiohead')], 'concept_musicgenre_rock')
([('concept_musicartist_dissection', 'NO_OP', 'concept_musicartist_dissection'), ('concept_musicartist_dissection', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_burzum', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_crass', 'concept:musicartistgenre', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_horror_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_pixies', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_hendrix')], 'concept_musicgenre_rock')
([('concept_musicartist_low', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_electro_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_cradle_of_filth', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_nightwish')], 'concept_musicgenre_metal')
([('concept_musicartist_bob_dylan', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_slayer')], 'concept_musicgenre_rock')
([('concept_musicartist_crass', 'concept:musicartistgenre', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hardcore')], 'concept_musicgenre_punk')
([('concept_musicartist_ramones', 'concept:musicartistgenre', 'concept_musicgenre_american_punk'), ('concept_musicgenre_american_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_jimmy_eat_world', 'concept:musicartistgenre', 'concept_musicgenre_emo'), ('concept_musicgenre_emo', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_jam')], 'concept_musicgenre_rock')
([('concept_musicartist_low', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_rolling_stones')], 'concept_musicgenre_rock')
([('concept_musicartist_mayhem', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicartistgenre', 'concept_musicartist_cradle_of_filth')], 'concept_musicgenre_black_metal')
([('concept_musicartist_darkthrone', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_dethklok')], 'concept_musicgenre_metal')
([('concept_musicartist_him', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_finnish_rock'), ('concept_musicgenre_finnish_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_finnish_rock')
([('concept_musicartist_misfits', 'concept:musicartistgenre', 'concept_musicgenre_horror_punk'), ('concept_musicgenre_horror_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk_rock')
([('concept_musicartist_burzum', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_british_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_beach_boys', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_r_b'), ('concept_musicgenre_r_b', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz'), ('concept_musicgenre_jazz', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_contemporary_jazz')], 'concept_musicgenre_jazz')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz'), ('concept_musicgenre_jazz', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_jazz')
([('concept_musicartist_bob_dylan', 'concept:musicartistgenre', 'concept_musicgenre_folk'), ('concept_musicgenre_folk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_blue_cheer')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_diamond_head')], 'concept_musicgenre_metal')
([('concept_musicartist_minor_threat', 'concept:musicartistgenre', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_horror_punk'), ('concept_musicgenre_horror_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_arcade_fire', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_pantera')], 'concept_musicgenre_rock')
([('concept_musicartist_dissection', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_jimmy_eat_world', 'concept:musicartistgenre', 'concept_musicgenre_emo'), ('concept_musicgenre_emo', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_electronic')], 'concept_musicgenre_rock')
([('concept_musicartist_bon_jovi', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hard_rock'), ('concept_musicgenre_hard_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_hard_rock')
([('concept_musicartist_bloc_party', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_rolling_stones')], 'concept_musicgenre_rock')
([('concept_musicartist_crass', 'concept:musicartistgenre', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'NO_OP', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_dissection', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_evergrey')], 'concept_musicgenre_metal')
([('concept_musicartist_eric_clapton', '¬concept:musicianinmusicartist', 'concept_musician_paul'), ('concept_musician_paul', 'concept:musicianinmusicartist', 'concept_musicartist_jimi_hendrix'), ('concept_musicartist_jimi_hendrix', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock')], 'concept_musicgenre_classic_rock')
([('concept_musicartist_crass', 'concept:musicartistgenre', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicartistgenre', 'concept_musicartist_bad_religion')], 'concept_musicgenre_punk')
([('concept_musicartist_dissection', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_anvil')], 'concept_musicgenre_metal')
([('concept_musicartist_black_flag', 'concept:musicartistgenre', 'concept_musicgenre_hardcore_punk'), ('concept_musicgenre_hardcore_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_horror_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_the_killers', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_r_b'), ('concept_musicgenre_r_b', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_offspring', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_marillion')], 'concept_musicgenre_rock')
([('concept_musicartist_r_e_m_', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'NO_OP', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_the_white_stripes', '¬concept:musicianinmusicartist', 'concept_musician_meg_white'), ('concept_musician_meg_white', 'concept:musicianinmusicartist', 'concept_musicartist_white_stripes'), ('concept_musicartist_white_stripes', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_devo', 'concept:musicartistgenre', 'concept_musicgenre_wave'), ('concept_musicgenre_wave', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_new_wave'), ('concept_musicgenre_new_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_new_wave')
([('concept_musicartist_journey', 'concept:musicartistgenre', 'concept_musicgenre_aor'), ('concept_musicgenre_aor', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american'), ('concept_musicgenre_american', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_american')
([('concept_musicartist_the_beatles', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_acdc')], 'concept_musicgenre_rock')
([('concept_musicartist_misfits', 'concept:musicartistgenre', 'concept_musicgenre_horror_punk'), ('concept_musicgenre_horror_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk_rock')
([('concept_musicartist_beatles', 'concept:musicartistgenre', 'concept_musicgenre_famous_rock'), ('concept_musicgenre_famous_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_classic_rock')
([('concept_musicartist_watain', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
